RL2022-2023,Jugador2022-2023,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,PJ2022-2023,Mín2022-2023,Mn/PJ2022-2023,% min2022-2023,90 s2022-2023,Titular2022-2023,Mn/arranque2022-2023,Compl2022-2023,Sup2022-2023,Mn/Sust2022-2023,Partidos como sustituto2022-2023,PPP2022-2023,onG2022-2023,onGA2022-2023,+/-2022-2023,+/-902022-2023,Dentro-Fuera2022-2023,onxG2022-2023,onxGA2022-2023,xG+/-2022-2023,xG+/-902022-2023,Dentro-Fuera.12022-2023
77,Carlos Alcaraz,ar ARG,"CC,DL",Southampton,eng Premier League,19,2002,18,1029.0,57.0,30.1,11.4,13,70.0,2,5,24.0,2,0.72,15.0,25.0,-10.0,-0.87,0.14,12.2,22.7,-10.5,-0.92,-0.44
78,Rubén Alcaraz,es ESP,CC,Cádiz,es La Liga,31,1991,31,2043.0,66.0,59.7,22.7,22,80.0,10,9,31.0,0,1.29,18.0,26.0,-8.0,-0.35,0.63,24.5,34.4,-9.8,-0.43,0.22
79,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,25,2047.0,82.0,59.9,22.7,23,87.0,19,2,23.0,6,1.04,19.0,24.0,-5.0,-0.22,0.17,23.2,27.7,-4.5,-0.2,0.12
80,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,27,1995,31,1311.0,42.0,38.3,14.6,13,69.0,2,18,23.0,2,1.06,8.0,26.0,-18.0,-1.24,-1.02,17.1,25.8,-8.7,-0.6,-0.13
81,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,19,2002,6,406.0,68.0,11.9,4.5,4,90.0,4,2,23.0,32,1.67,7.0,8.0,-1.0,-0.22,-1.15,6.1,6.1,0.1,0.01,-0.5
82,Carles Aleñá,es ESP,"CC,DL",Getafe,es La Liga,24,1998,35,2119.0,61.0,62.0,23.5,26,75.0,7,9,20.0,0,1.0,17.0,27.0,-10.0,-0.42,-0.36,21.3,25.1,-3.8,-0.16,0.22
83,Kyle Alex John,eng ENG,DF,Everton,eng Premier League,21,2001,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,37,2923.0,79.0,85.5,32.5,34,85.0,23,3,16.0,1,1.78,70.0,44.0,26.0,0.8,0.44,64.2,42.6,21.6,0.66,0.65
85,Alejandro Alfaro,es ESP,CC,Elche,es La Liga,20,2002,1,15.0,15.0,0.4,0.2,0,0.0,0,1,15.0,1,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.4,-0.4,-2.24,-1.39
86,Ángel Algobia,es ESP,CC,Getafe,es La Liga,23,1999,26,1138.0,44.0,33.3,12.6,11,71.0,3,15,24.0,10,1.19,17.0,15.0,2.0,0.16,0.67,15.6,14.6,1.1,0.09,0.5
87,Mohamed Ali Cho,fr FRA,"DL,CC",Real Sociedad,es La Liga,18,2004,19,587.0,31.0,17.2,6.5,5,61.0,0,14,20.0,5,1.89,11.0,9.0,2.0,0.31,-0.14,10.2,6.8,3.4,0.52,0.01
88,Faride Alidou,de GER,"DF,CC",Eint Frankfurt,de Bundesliga,21,2001,15,182.0,12.0,5.9,2.0,0,0.0,0,15,12.0,10,1.13,3.0,4.0,-1.0,-0.49,-0.71,4.0,2.5,1.4,0.69,0.47
89,Alisson,br BRA,PO,Liverpool,eng Premier League,29,1992,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,0.0,0,1.78,71.0,43.0,28.0,0.76,0.76,68.6,49.1,19.5,0.53,-1.64
90,Allan,br BRA,"DF,CC",Everton,eng Premier League,31,1991,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Jim Allevinah,ga GAB,"DF,DL",Clermont Foot,fr Ligue 1,27,1995,36,2244.0,62.0,65.6,24.9,25,80.0,11,11,22.0,0,1.56,24.0,33.0,-9.0,-0.36,-0.74,30.4,38.0,-7.6,-0.31,-0.07
92,Dele Alli,eng ENG,CC,Everton,eng Premier League,26,1996,2,40.0,20.0,1.2,0.4,0,0.0,0,2,20.0,1,0.0,1.0,1.0,0.0,0.0,0.61,1.0,1.7,-0.7,-1.57,-1.04
93,Téo Allix,fr FRA,DF,Montpellier,fr Ligue 1,18,2004,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Pasquale Allocca,it ITA,PO,Salernitana,it Serie A,17,2005,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Domingos André Ribeiro Almeida,pt POR,CC,Valencia,es La Liga,22,2000,34,2539.0,75.0,74.2,28.2,29,84.0,14,5,23.0,2,1.15,30.0,32.0,-2.0,-0.07,0.03,37.4,32.4,5.0,0.18,0.09
96,Miguel Almirón,py PAR,DL,Newcastle Utd,eng Premier League,28,1994,34,2491.0,73.0,72.8,27.7,29,81.0,6,5,26.0,0,1.74,43.0,22.0,21.0,0.76,-0.6,45.9,27.5,18.3,0.66,-0.7
97,Nando Almodóvar,es ESP,PO,Cádiz,es La Liga,18,2003,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,José Alonso Lara,es ESP,CC,Betis,es La Liga,22,2000,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,24,1172.0,49.0,34.3,13.0,11,80.0,8,13,22.0,10,2.29,22.0,11.0,11.0,0.84,-0.72,23.2,14.0,9.2,0.71,-0.62
100,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,26,1361.0,52.0,39.8,15.1,14,81.0,9,12,19.0,6,0.73,7.0,30.0,-23.0,-1.52,-0.3,12.0,20.8,-8.8,-0.58,-0.19
101,Éder Álvarez Balanta,co COL,"CC,DL",Schalke 04,de Bundesliga,29,1993,6,238.0,40.0,7.8,2.6,3,50.0,0,3,29.0,3,1.5,2.0,3.0,-1.0,-0.38,0.74,2.7,4.7,-2.0,-0.75,-0.25
102,Carlos Álvarez,es ESP,CC,Sevilla,es La Liga,18,2003,1,10.0,10.0,0.3,0.1,0,0.0,0,1,10.0,7,3.0,0.0,1.0,-1.0,-9.0,-8.84,0.1,0.2,-0.1,-0.67,-0.46
103,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,22,1501.0,68.0,43.9,16.7,16,86.0,10,6,22.0,14,1.41,17.0,15.0,2.0,0.12,0.73,20.6,19.7,0.9,0.05,0.54
104,Hugo Álvarez,es ESP,DF,Celta Vigo,es La Liga,19,2003,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Iker Álvarez,ad AND,PO,Villarreal,es La Liga,21,2001,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Julián Álvarez,ar ARG,"DL,CC",Manchester City,eng Premier League,22,2000,31,1465.0,47.0,42.8,16.3,13,85.0,8,18,20.0,6,2.42,37.0,16.0,21.0,1.29,-0.55,32.3,17.3,15.0,0.92,-0.53
107,Agustín Álvarez Martínez,uy URU,"DL,CC",Sassuolo,it Serie A,21,2001,22,368.0,17.0,10.8,4.1,1,53.0,0,21,15.0,13,0.86,6.0,9.0,-3.0,-0.73,-0.41,4.8,6.3,-1.5,-0.38,-0.48
108,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,28,2332.0,83.0,68.2,25.9,27,86.0,21,1,12.0,2,1.5,33.0,30.0,3.0,0.12,0.03,33.0,25.1,7.9,0.3,-0.48
109,Diego Alves,br BRA,PO,Celta Vigo,es La Liga,37,1985,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Steven Alzate,co COL,CC,Brighton,eng Premier League,23,1998,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Ibrahim Amadou,fr FRA,"DF,CC",Angers,fr Ligue 1,29,1993,7,424.0,61.0,12.4,4.7,4,90.0,4,3,21.0,4,0.14,5.0,9.0,-4.0,-0.85,0.47,5.9,9.8,-3.9,-0.83,-0.32
112,Selim Amallah,ma MAR,"CC,DL",Valladolid,es La Liga,25,1996,7,267.0,38.0,7.8,3.0,3,56.0,0,4,25.0,2,1.14,6.0,4.0,2.0,0.67,1.59,4.0,5.4,-1.5,-0.5,0.21
113,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,20,2001,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,20,1610.0,81.0,47.1,17.9,18,87.0,16,2,22.0,15,0.8,20.0,27.0,-7.0,-0.39,0.11,20.0,27.6,-7.6,-0.42,-0.17
115,Amath,sn SEN,"CC,DL",Mallorca,es La Liga,26,1996,28,1227.0,44.0,35.9,13.6,12,68.0,3,16,26.0,3,1.25,13.0,14.0,-1.0,-0.07,0.13,14.7,15.1,-0.4,-0.03,0.42
116,Lorenzo Amatucci,it ITA,CC,Fiorentina,it Serie A,18,2004,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
