Fee,Market Value,npxG+xAG2020-2021,npxG2020-2021,PrgP2020-2021,G+A2020-2021,npxG+xAG2021-2022,Ass2020-2021,G-TP2020-2021,xAG2021-2022,xG2020-2021,PrgP2021-2022,PrgC2020-2021,G+A2021-2022,xG2021-2022,Gls.2020-2021,Titular2020-2021,PrgC2021-2022,npxG2021-2022,Mín2020-2021,90 s2020-2021,PrgR2021-2022,Gls.2021-2022,xAG2020-2021,G-TP2021-2022,TA2020-2021,Titular2021-2022,Mín2021-2022,90 s2021-2022,PrgR2020-2021,Ass2021-2022,TP2021-2022,npxG2019-2020,npxG+xAG2019-2020,TPint2021-2022,G-TP2019-2020,PJ2020-2021,G+A-TP2020-2021,G-TP.12020-2021,PrgP2019-2020,PrgC2019-2020,TA2021-2022,G+A.12020-2021,xG2019-2020,Gls..12020-2021,PJ2021-2022,Gls.2019-2020,PrgR2019-2020,G+A2019-2020,npxG.12020-2021,xG.12020-2021,Jugador
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ager Aketxe
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.5,0.0,2.0,0.0,0.0,0.0,26.0,11.0,0.0,0.0,1.1,0.0,0.0,2.0,53.0,3.0,0.0,0.0,Chadrac Akolo
,,0.5,0.1,56.0,1.0,3.8,0.0,1.0,2.6,0.1,87.0,10.0,4.0,1.2,1.0,14.0,36.0,1.2,1184.0,13.2,40.0,2.0,0.4,2.0,1.0,19.0,1527.0,17.0,14.0,2.0,0.0,0.1,0.2,0.0,0.0,16.0,0.08,0.08,32.0,7.0,5.0,0.08,0.1,0.08,26.0,0.0,5.0,0.0,0.01,0.01,Kevin Akpoguma
,,3.3,1.2,242.0,6.0,3.8,4.0,2.0,2.2,1.2,154.0,56.0,5.0,1.6,2.0,30.0,40.0,1.6,2675.0,29.7,76.0,2.0,2.1,2.0,4.0,30.0,2642.0,29.4,70.0,3.0,0.0,1.0,3.3,0.0,1.0,32.0,0.2,0.07,285.0,69.0,2.0,0.2,1.0,0.07,30.0,1.0,42.0,2.0,0.04,0.04,David Alaba
6.0,8.0,6.6,5.7,21.0,13.0,6.2,2.0,9.0,1.0,7.2,10.0,7.0,6.0,6.0,11.0,12.0,6.0,5.2,1245.0,13.8,44.0,6.0,0.9,6.0,2.0,5.0,655.0,7.3,75.0,0.0,0.0,6.5,8.1,1.0,6.0,25.0,0.8,0.65,16.0,7.0,2.0,0.94,7.3,0.8,27.0,7.0,63.0,8.0,0.41,0.52,Lucas Alario
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Alba
,,9.5,1.9,197.0,8.0,8.7,5.0,3.0,7.1,1.9,291.0,48.0,12.0,1.5,3.0,34.0,47.0,1.5,3025.0,33.6,213.0,2.0,7.6,2.0,9.0,30.0,2644.0,29.4,354.0,10.0,0.0,1.4,5.7,0.0,2.0,35.0,0.24,0.09,150.0,42.0,11.0,0.24,1.4,0.09,30.0,2.0,244.0,7.0,0.06,0.06,Jordi Alba
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Raúl Albentosa
,,12.9,5.0,301.0,11.0,11.1,2.0,9.0,7.8,5.1,223.0,143.0,14.0,3.3,9.0,33.0,84.0,3.3,2618.0,29.1,89.0,5.0,7.9,5.0,5.0,27.0,2353.0,26.1,132.0,9.0,0.0,5.8,17.2,0.0,5.0,34.0,0.38,0.31,371.0,203.0,5.0,0.38,6.6,0.31,34.0,6.0,163.0,21.0,0.17,0.18,Luis Alberto
,,1.9,0.9,136.0,0.0,0.5,0.0,0.0,0.1,0.9,90.0,19.0,0.0,0.4,0.0,35.0,11.0,0.4,3115.0,34.6,0.0,0.0,1.0,0.0,7.0,28.0,2465.0,27.4,2.0,0.0,0.0,2.3,2.5,0.0,1.0,35.0,0.0,0.0,118.0,11.0,8.0,0.0,2.3,0.0,28.0,1.0,4.0,1.0,0.03,0.03,Raúl Albiol
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miiko Albornoz
,2.0,4.7,1.2,84.0,6.0,2.5,5.0,1.0,2.0,1.2,26.0,46.0,3.0,0.5,1.0,17.0,21.0,0.5,1746.0,19.4,56.0,1.0,3.5,1.0,2.0,11.0,1132.0,12.6,139.0,2.0,0.0,0.4,2.6,0.0,0.0,31.0,0.31,0.05,45.0,20.0,3.0,0.31,0.4,0.05,17.0,0.0,94.0,3.0,0.06,0.06,Marc Albrighton
,9.0,10.2,7.5,13.0,10.0,5.5,4.0,5.0,1.6,9.0,10.0,12.0,4.0,3.9,6.0,19.0,4.0,3.9,1544.0,17.2,45.0,1.0,2.8,1.0,0.0,10.0,787.0,8.7,77.0,3.0,0.0,7.6,10.0,0.0,9.0,27.0,0.52,0.29,23.0,14.0,1.0,0.58,7.6,0.35,18.0,9.0,87.0,11.0,0.43,0.53,Paco Alcácer
,,0.1,0.1,11.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,909.0,10.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,Pedro Alcalá
,,3.5,1.2,203.0,1.0,4.2,0.0,1.0,2.3,1.2,214.0,27.0,5.0,1.9,1.0,20.0,24.0,1.9,1854.0,20.6,45.0,1.0,2.3,1.0,4.0,17.0,1534.0,17.0,25.0,4.0,0.0,2.4,3.3,0.0,3.0,24.0,0.05,0.05,230.0,27.0,2.0,0.05,2.4,0.05,25.0,3.0,43.0,3.0,0.06,0.06,Thiago Alcántara
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Alcibiade
4.0,7.0,1.4,0.7,59.0,1.0,0.0,0.0,1.0,0.0,0.7,0.0,3.0,0.0,0.0,1.0,25.0,0.0,0.0,2240.0,24.9,0.0,0.0,0.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,2.1,0.0,2.0,25.0,0.04,0.04,96.0,11.0,0.0,0.04,0.7,0.04,0.0,2.0,10.0,4.0,0.03,0.03,Toby Alderweireld
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Steve Aldo One
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,Álex Alegría
,,1.9,1.1,13.0,2.0,3.2,1.0,1.0,1.8,1.1,25.0,46.0,4.0,1.4,1.0,6.0,63.0,1.4,827.0,9.2,88.0,2.0,0.8,2.0,5.0,11.0,1065.0,11.8,79.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,0.22,0.11,0.0,0.0,7.0,0.22,0.0,0.11,20.0,0.0,0.0,0.0,0.12,0.12,Iván Alejo
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexander
,,11.2,2.6,251.0,9.0,14.4,7.0,2.0,12.0,2.6,267.0,98.0,14.0,2.4,2.0,34.0,53.0,2.4,3031.0,33.7,201.0,2.0,8.6,2.0,2.0,32.0,2853.0,31.7,249.0,12.0,0.0,2.8,13.7,0.0,4.0,36.0,0.27,0.06,247.0,98.0,2.0,0.27,2.8,0.06,32.0,4.0,226.0,17.0,0.08,0.08,Trent Alexander-Arnold
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexis
