RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
818,Wataru Endo,jp JPN,CC,Stuttgart,de Bundesliga,28,1993,32.2,1981.0,96.0,494.0,1151.0,359.0,54.0,1981.0,54.0,34.0,63.0,20.0,37.0,1051.0,4554.0,2186.0,34.0,29.0,6.0,51.0,42.0,1290.0,63.0
819,Christian Eriksen,dk DEN,CC,Brentford,eng Premier League,29,1992,10.4,740.0,18.0,137.0,374.0,238.0,12.0,740.0,16.0,8.0,50.0,8.0,50.0,409.0,1889.0,1044.0,21.0,16.0,3.0,18.0,9.0,475.0,22.0
820,Martin Erlic,hr CRO,DF,Spezia,it Serie A,23,1998,28.6,1383.0,265.0,887.0,463.0,40.0,30.0,1383.0,4.0,3.0,75.0,1.0,25.0,662.0,2898.0,1380.0,6.0,5.0,0.0,14.0,2.0,751.0,3.0
821,Gonzalo Escalante,ar ARG,CC,Lazio,it Serie A,28,1993,0.1,10.0,2.0,6.0,3.0,1.0,0.0,10.0,0.0,0.0,,0.0,,3.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
822,Gonzalo Escalante,ar ARG,CC,Alavés,es La Liga,28,1993,14.4,582.0,37.0,136.0,335.0,115.0,24.0,582.0,9.0,7.0,77.8,2.0,22.2,216.0,788.0,372.0,7.0,3.0,0.0,14.0,14.0,255.0,15.0
823,Aarón Escandell,es ESP,PO,Granada,es La Liga,25,1995,3.2,137.0,115.0,137.0,0.0,0.0,0.0,137.0,0.0,0.0,,0.0,,64.0,402.0,250.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
824,Sergio Escudero,es ESP,"DF,CC",Granada,es La Liga,31,1989,15.9,934.0,47.0,281.0,443.0,214.0,14.0,934.0,12.0,3.0,25.0,9.0,75.0,352.0,1514.0,801.0,17.0,13.0,1.0,19.0,10.0,412.0,37.0
825,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,29,1992,37.0,2202.0,149.0,770.0,939.0,529.0,46.0,2202.0,47.0,24.0,51.1,23.0,48.9,929.0,4757.0,2546.0,62.0,50.0,9.0,43.0,21.0,965.0,123.0
826,Michael Esser,de GER,PO,Bochum,de Bundesliga,33,1987,3.0,146.0,126.0,146.0,0.0,0.0,0.0,146.0,0.0,0.0,,0.0,,88.0,416.0,252.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0
827,Estanis,es ESP,DL,Barcelona,es La Liga,17,2003,0.1,4.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
828,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,20.6,1005.0,151.0,549.0,443.0,22.0,11.0,1005.0,3.0,2.0,66.7,1.0,33.3,632.0,3558.0,1906.0,12.0,4.0,0.0,12.0,2.0,605.0,2.0
829,Pervis Estupiñán,ec ECU,DF,Villarreal,es La Liga,23,1998,17.5,1262.0,50.0,355.0,501.0,417.0,30.0,1262.0,35.0,17.0,48.6,18.0,51.4,658.0,3310.0,1745.0,50.0,29.0,7.0,26.0,14.0,741.0,148.0
830,Oghenekaro Etebo,ng NGA,CC,Watford,eng Premier League,25,1995,4.5,204.0,15.0,65.0,130.0,12.0,0.0,204.0,10.0,6.0,60.0,4.0,40.0,106.0,548.0,248.0,3.0,1.0,0.0,3.0,2.0,123.0,1.0
