Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Titular,Titular,Titular,Sup.,Sup.,Sup.,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Unnamed: 30_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
45,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,31,2530,82,82.7,28.1,29,85,24,2,27,0,2.29,71,27,+44,+1.57,-0.47,68.4,23.6,+44.9,+1.60,-0.70,Partidos
46,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,25,1895,76,55.4,21.1,23,80,14,2,26,3,1.24,28,36,-8,-0.38,-0.79,23.8,37.3,-13.6,-0.64,-1.06,Partidos
47,Lucas Alario,ar ARG,"DL,CC",Leverkusen,de Bundesliga,25,1992,27,1265,47,41.3,14.1,11,83,5,16,22,6,1.70,33,16,+17,+1.21,+1.21,22.9,18.3,+4.7,+0.33,-0.15,Partidos
48,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,36,2991,83,87.5,33.2,32,90,32,4,27,0,2.39,86,30,+56,+1.69,+2.10,70.0,38.6,+31.4,+0.94,+1.13,Partidos
49,Luis Alberto,es ESP,"CC,DL",Lazio,it Serie A,25,1992,27,1990,74,58.2,22.1,25,78,9,2,21,4,1.44,30,22,+8,+0.36,+0.24,35.0,23.3,+11.7,+0.53,+0.42,Partidos
50,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,20,1713,86,50.1,19.0,19,90,19,1,3,6,2.10,33,22,+11,+0.58,-0.85,30.4,21.2,+9.3,+0.49,-0.26,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
51,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,27,1990,22,1660,75,54.2,18.4,19,85,16,3,15,6,0.55,19,44,-25,-1.36,-0.39,18.1,37.6,-19.6,-1.06,-0.35,Partidos
52,Marc Albrighton,eng ENG,"DL,CC",Leicester City,eng Premier League,28,1989,27,1625,60,47.5,18.1,18,78,8,9,25,2,1.37,17,17,0,0.00,-0.15,19.9,23.1,-3.2,-0.18,-0.78,Partidos
53,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,24,1993,26,1211,47,39.6,13.5,11,78,3,15,23,2,2.35,42,21,+21,+1.56,+0.78,27.1,12.6,+14.5,+1.08,+0.74,Partidos
