Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2255,1950,302,30,2,17,98,272,0,0,0,0,1862,3,52,Partidos
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,6.3,301,238,63,7,0,1,22,56,0,0,0,0,185,0,10,Partidos
71,Sergio Álvarez,es ESP,"DF,CC",Eibar,es La Liga,26,1992,11.9,500,491,7,7,0,3,0,0,0,0,0,0,395,2,8,Partidos
72,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,31,1986,13.0,463,304,154,26,0,1,0,0,0,0,0,0,302,5,0,Partidos
73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,1294,1233,57,55,0,12,4,2,0,0,0,0,1031,4,11,Partidos
74,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,1245,1155,77,74,1,22,17,0,0,0,0,0,962,13,7,Partidos
75,Dani Alves,br BRA,"CC,DF",Paris S-G,fr Ligue 1,35,1983,18.0,1581,1489,84,18,21,12,61,60,6,0,4,0,1316,8,37,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
76,Alfons Amade,de GER,CC,Hoffenheim,de Bundesliga,18,1999,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Partidos
77,Ibrahim Amadou,fr FRA,"CC,DF",Sevilla,es La Liga,25,1993,8.5,361,355,3,3,0,3,6,0,0,0,0,0,302,3,9,Partidos
78,Romain Amalfitano,fr FRA,"CC,DL",Dijon,fr Ligue 1,28,1989,28.0,1083,1055,20,8,3,24,25,12,0,0,0,0,835,8,20,Partidos
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,435,370,64,4,0,2,3,60,0,0,0,0,357,1,6,Partidos
80,Jordi Amat,id IDN,DF,Rayo Vallecano,es La Liga,26,1992,30.7,1295,1206,83,76,2,34,0,7,0,0,0,0,1064,6,14,Partidos
81,Amath,sn SEN,CC,Getafe,es La Liga,22,1996,11.1,210,204,2,0,1,1,11,0,1,0,1,0,142,4,13,Partidos
82,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,1282,1029,250,18,1,2,82,232,0,0,0,0,961,3,38,Partidos
83,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,1208,956,248,34,0,3,21,214,0,0,0,0,942,4,23,Partidos
84,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,21,1996,8.4,375,360,14,8,2,1,11,6,0,0,0,0,320,1,7,Partidos
85,Yanis Ammour,fr FRA,CC,Montpellier,fr Ligue 1,19,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Partidos
86,Luke Amos,eng ENG,CC,Tottenham,eng Premier League,21,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Partidos
87,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,2036,1939,93,90,0,33,1,3,0,0,0,0,1804,4,10,Partidos
88,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,25,1993,33.8,1824,1681,133,57,22,32,122,26,49,17,25,0,1325,10,72,Partidos
89,Florin Andone,ro ROU,DL,Brighton,eng Premier League,25,1993,9.8,170,164,6,0,0,0,5,0,0,0,0,0,113,0,8,Partidos
90,Benjamin André,fr FRA,CC,Rennes,fr Ligue 1,27,1990,27.7,1505,1458,36,27,5,11,13,0,0,0,0,0,1174,11,26,Partidos
91,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,72,71,1,1,0,0,0,0,0,0,0,0,65,0,0,Partidos
92,Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,250,245,4,4,0,1,0,0,0,0,0,0,194,1,1,Partidos
93,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Partidos
