Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Dedryck Boyata,31,2,Belgium,3.5,Club Brugge,Jupiler Pro League,Belgium,2,2.0
Adam Bareiro,26,3,Paraguay,3.5,San Lorenzo,Copa de la Liga,Argentina,2,1.9
Luis Malagón,25,5,Mexico,3.5,América,Liga MX Clausura,Mexico,2,1.88
Tahith Chong,22,10,Netherlands,3.5,Birmingham,Championship,England,2,1.75
Daizen Maeda,24,7,Japan,3.5,Celtic,Premiership,Scotland,2,1.53
Sargis Adamyan,29,3,Armenia,3.5,1.FC Köln,Bundesliga,Germany,2,1.5
Rodrigo Zalazar,22,0,Uruguay,3.5,FC Schalke 04,Bundesliga,Germany,2,1.5
Adrien Hunou,28,3,France,3.5,Angers SCO,Ligue 1,France,2,1.5
Riccardo Calafiori,20,8,Italy,3.5,FC Basel,Super League,Switzerland,2,1.0
Halil Akbunar,28,10,Turkey,3.5,KVC Westerlo,Jupiler Pro League,Belgium,2,1.0
Kévin Cabral,23,7,France,3.5,Colorado,MLS,United States,2,9.5
Joaquín Pereyra,24,1,Argentina,3.5,Atl. Tucumán,Copa de la Liga,Argentina,2,9.38
Daniel,28,5,Brazil,3.5,San Jose,MLS,United States,2,6.0
Magnus Kofod Andersen,23,1,Denmark,3.5,Venezia,Serie B,Italy,2,5.1
Sandro Ramírez,27,3,Spain,3.5,UD Las Palmas,LaLiga2,Spain,1,
Didier Lamkel Zé,25,7,Cameroon,3.5,KV Kortrijk,Jupiler Pro League,Belgium,2,5.0
Sasa Zdjelar,27,4,Serbia,3.5,CSKA Moscow,Premier Liga,Russia,2,5.0
Artur,26,4,Brazil,3.5,Houston,MLS,United States,2,2.91
Naci Ünüvar,19,7,Turkey,3.5,Trabzonspor,Süper Lig,Turkey,1,
Shapi Suleymanov,22,10,Russia,3.5,H. Beer Sheva,Ligat ha'Al,Israel,1,
Olimpiu Morutan,23,0,Romania,3.5,Pisa,Serie B,Italy,1,
Roman Evgenjev,23,2,Russia,3.5,KS Samara,Premier Liga,Russia,2,0.25
Ola Solbakken,24,10,Norway,3.5,AS Roma,Serie A,Italy,0,
Jérôme Onguéné,24,2,Cameroon,3.5,E. Frankfurt,Bundesliga,Germany,0,
Lee Buchanan,21,8,England,3.5,Werder Bremen,Bundesliga,Germany,0,
Janik Haberer,28,1,Germany,3.5,Union Berlin,Bundesliga,Germany,0,
Alexandru Maxim,32,0,Romania,3.5,Besiktas,Süper Lig,Turkey,1,
Gabriel Charpentier,23,3,Congo,3.5,Parma,Serie B,Italy,3,
Facundo Kruspzky,20,7,Argentina,3.5,Al-Wahda FC,UAE Pro League,United Arab Emirates,0,
Kelvin Yeboah,22,3,Italy,3.5,FC Augsburg,Bundesliga,Germany,1,
Alexis Sánchez,33,3,Chile,3.5,Marseille,Ligue 1,France,0,
Radu Dragusin,20,2,Romania,3.5,Genoa,Serie B,Italy,1,
George Puscas,26,3,Romania,3.5,Genoa,Serie B,Italy,1,
Jack Clarke,21,7,England,3.5,Sunderland,Championship,England,3,
Ionut Radu,25,5,Romania,3.5,AJ Auxerre,Ligue 1,France,1,
Mihailo Ristic,26,8,Serbia,3.5,Benfica,Liga Portugal,Portugal,0,
Sebastiano Esposito,20,3,Italy,3.5,Bari,Serie B,Italy,1,
Eddie Salcedo,20,3,Italy,3.5,Bari,Serie B,Italy,1,
Martin Hongla,24,4,Cameroon,3.5,Real Valladolid,LaLiga,Spain,1,
Matías Vecino,30,1,Uruguay,3.5,Lazio,Serie A,Italy,0,
Jérôme Onguéné,25,2,Cameroon,3.5,RB Salzburg,Bundesliga,Austria,1,
Festy Ebosele,19,11,Ireland,3.5,Udinese Calcio,Serie A,Italy,0,
Ferro,25,2,Portugal,3.5,Vitesse,Eredivisie,Netherlands,1,
Danilo Barbosa,26,4,Brazil,3.5,Botafogo,Série A,Brazil,0,
Shoya Nakajima,28,0,Japan,3.5,Antalyaspor,Süper Lig,Turkey,0,
Aboubakar Kamara,27,3,Mauritania,3.5,Aris Saloniki,Super League 1,Greece,1,
Roberto Piccoli,22,3,Italy,3.5,FC Empoli,Serie A,Italy,1,
Marko Pjaca,27,7,Croatia,3.5,FC Empoli,Serie A,Italy,1,
Marlon,25,8,Brazil,3.5,Ankaragücü,Süper Lig,Turkey,0,
Pêpê,25,1,Portugal,3.5,Ankaragücü,Süper Lig,Turkey,1,
Taylan Antalyali,27,1,Turkey,3.5,Ankaragücü,Süper Lig,Turkey,1,
Bryan Reynolds,21,11,United States,3.5,KVC Westerlo,Jupiler Pro League,Belgium,1,
Joe Rothwell,27,1,England,3.5,Bournemouth,Premier League,England,0,
Lorenzo Colombo,20,3,Italy,3.5,Lecce,Serie A,Italy,1,
Di'Shon Bernard,22,2,Jamaica,3.5,Portsmouth,League One,England,1,
Callum Styles,22,1,Hungary,3.5,Millwall,Championship,England,1,
Michaël Cuisance,23,1,France,3.5,Sampdoria,Serie A,Italy,1,
Patrick Cutrone,24,3,Italy,3.5,Como,Serie B,Italy,3,
Douglas Costa,31,10,Brazil,3.5,Los Angeles,MLS,United States,0,
Ismaily,32,8,Brazil,3.5,LOSC Lille,Ligue 1,France,0,
Antonio Blanco,22,4,Spain,3.5,Alavés,LaLiga2,Spain,1,
Cecilio Domínguez,27,7,Paraguay,3.5,Santos Laguna,Liga MX Clausura,Mexico,0,
Ibrahima Niane,23,3,Senegal,3.5,Angers SCO,Ligue 1,France,1,
Marcel Ruiz,21,1,Mexico,3.5,Toluca,Liga MX Clausura,Mexico,3,
Ionut Radu,25,5,Romania,3.5,Cremonese,Serie A,Italy,1,
Robert Muric,26,10,Croatia,3.5,Konyaspor,Süper Lig,Turkey,3,
Juan Otero,27,10,Colombia,3.5,Sporting Gijón,LaLiga2,Spain,1,
Óscar Estupiñán,25,3,Colombia,3.5,Hull City,Championship,England,0,
Lucas Halter,22,2,Brazil,3.5,Goiás,Série A,Brazil,1,
Mattia Caldara,28,2,Italy,3.5,Spezia Calcio,Serie A,Italy,1,
Bradley Locko,20,8,France,3.5,Stade Brestois,Ligue 1,France,1,
Omar Fernández,29,7,Colombia,3.5,Puebla FC,Liga MX Clausura,Mexico,1,
Farid Boulaya,29,0,Algeria,3.5,Al-Gharafa SC,Stars League,Qatar,0,
Charles Aránguiz,33,1,Chile,3.5,Internacional,Série A,Brazil,0,
Berke Özer,22,5,Turkey,3.5,Portimonense,Liga Portugal,Portugal,0,
Vitinho,28,7,Brazil,3.5,Ettifaq FC,Saudi Pro League,Saudi Arabia,0,
Luca Moro,21,3,Italy,3.5,Frosinone,Serie B,Italy,1,
Kanu,25,2,Brazil,3.5,EC Bahia,Série A,Brazil,1,
Raul Gustavo,23,2,Brazil,3.5,EC Bahia,Série A,Brazil,1,
Fabiano Silva,22,11,Brazil,3.5,Kasimpasa,Süper Lig,Turkey,1,
Caio Alexandre,23,1,Brazil,3.5,Fortaleza,Série A,Brazil,1,
Zinedine Ferhat,29,10,Algeria,3.5,Alanyaspor,Süper Lig,Turkey,0,
Aarón Molinas,22,0,Argentina,3.5,Tigre,Copa de la Liga,Argentina,1,
