Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Mahlon Romeo,26,11,Antigua and Barbuda,2.0,Cardiff,Championship,Wales,0,
Andre Gray,31,3,Jamaica,2.0,Aris Saloniki,Super League 1,Greece,0,
Rafael Camacho,22,10,Portugal,2.0,Aris Saloniki,Super League 1,Greece,1,
Guillermo Varela,29,11,Uruguay,2.0,Flamengo,Série A,Brazil,0,
Arturo Vidal,35,1,Chile,2.0,Flamengo,Série A,Brazil,0,
Kike Salas,20,2,Spain,2.0,CD Tenerife,LaLiga2,Spain,1,
Thomas Delaine,30,8,France,2.0,R. Strasbourg,Ligue 1,France,0,
Josh Bowler,23,10,England,2.0,Olympiacos,Super League 1,Greece,1,
Samuel Grandsir,26,10,France,2.0,Le Havre AC,Ligue 2,France,0,
Jean-Daniel Akpa Akpro,29,1,Cote d'Ivoire,2.0,FC Empoli,Serie A,Italy,1,
Eric Remedi,27,4,Argentina,2.0,Banfield,Copa de la Liga,Argentina,0,
Milton Giménez,26,3,Argentina,2.0,Banfield,Copa de la Liga,Argentina,1,
Gastón Pereiro,27,0,Uruguay,2.0,Nacional,Torneo Intermedio,Uruguay,1,
Germán Conti,28,2,Argentina,2.0,Loko Moscow,Premier Liga,Russia,0,
Robert Renan,19,2,Brazil,2.0,Zenit S-Pb,Premier Liga,Russia,0,
Lucas Mineiro,26,4,Brazil,2.0,KVC Westerlo,Jupiler Pro League,Belgium,1,
Issiaga Sylla,29,8,Guinea,2.0,Montpellier,Ligue 1,France,0,
Marc Albrighton,33,9,England,2.0,West Brom,Championship,England,1,
Pietro Ceccaroni,27,2,Italy,2.0,Lecce,Serie A,Italy,1,
Gianluca Frabotta,23,8,Italy,2.0,Lecce,Serie A,Italy,1,
Josh Koroma,23,3,England,2.0,Portsmouth,League One,England,1,
Benik Afobe,29,3,DR Congo,2.0,Millwall,Championship,England,3,
Jonathan Menéndez,28,7,Argentina,2.0,Vélez Sarsfield,Liga Profesional,Argentina,1,
Andrés Roa,29,0,Colombia,2.0,Argentinos Jrs.,Liga Profesional,Argentina,0,
Cauley Woodrow,27,3,England,2.0,Luton,Championship,England,3,
Will Vaulks,28,4,Wales,2.0,Sheff Wed,League One,England,0,
Bram Nuytinck,32,2,Netherlands,2.0,Sampdoria,Serie A,Italy,3,
Maxime Leverbe,25,2,France,2.0,Sampdoria,Serie A,Italy,1,
Bruno Amione,20,2,Argentina,2.0,Sampdoria,Serie A,Italy,1,
Jake Clarke-Salter,24,2,England,2.0,QPR,Championship,England,0,
Rafa Soares,27,8,Portugal,2.0,PAOK Salonika,Super League 1,Greece,0,
Papa Ndiaga Yade,22,7,Senegal,2.0,Troyes,Ligue 1,France,1,
Mandela Keita,20,4,Belgium,2.0,Royal Antwerp,Jupiler Pro League,Belgium,1,
Rober González,21,10,Spain,2.0,Alavés,LaLiga2,Spain,1,
Moussa Djitté,23,3,Senegal,2.0,AC Ajaccio,Ligue 1,France,1,
Youssouf Koné,27,8,Mali,2.0,AC Ajaccio,Ligue 1,France,1,
Josh Bowler,23,10,England,2.0,Blackpool,Championship,England,1,
Curtis Nelson,29,2,England,2.0,Blackpool,Championship,England,0,
Charlie Patino,18,1,England,2.0,Blackpool,Championship,England,1,
Ian Poveda,22,10,England,2.0,Blackpool,Championship,England,1,
Tariqe Fosu,27,7,Ghana,2.0,Rotherham,Championship,England,1,
Omar Al-Somah,33,3,Syria,2.0,Al-Arabi SC,Stars League,Qatar,1,
Mubarak Wakaso,32,1,Ghana,2.0,KAS Eupen,Jupiler Pro League,Belgium,1,
Raúl López,29,11,Mexico,2.0,Santos Laguna,Liga MX Clausura,Mexico,3,
Juan Brunetta,25,7,Argentina,2.0,Santos Laguna,Liga MX Clausura,Mexico,1,
Yahia Fofana,21,5,France,2.0,Angers SCO,Ligue 1,France,0,
Miha Blazic,29,2,Slovenia,2.0,Angers SCO,Ligue 1,France,0,
Ibrahim Amadou,29,4,France,2.0,Angers SCO,Ligue 1,France,0,
Carlos Eduardo,26,10,Brazil,2.0,Estoril Praia,Liga Portugal,Portugal,1,
Carlos Clerc,30,8,Spain,2.0,Elche CF,LaLiga,Spain,0,
Luca Zidane,24,5,France,2.0,SD Eibar,LaLiga2,Spain,0,
Janderson,23,7,Brazil,2.0,Ceará SC,Série B,Brazil,1,
Pablo Galdames,26,1,Chile,2.0,Cremonese,Serie A,Italy,1,
Paolo Ghiglione,25,11,Italy,2.0,Cremonese,Serie A,Italy,3,
Josef Bursik,22,5,England,2.0,Club Brugge,Jupiler Pro League,Belgium,3,
Domagoj Pavicic,28,1,Croatia,2.0,Konyaspor,Süper Lig,Turkey,0,
Jordy Caicedo,25,3,Ecuador,2.0,Sivasspor,Süper Lig,Turkey,1,
Xavi Quintillà,25,8,Spain,2.0,Santa Clara,Liga Portugal,Portugal,0,
Tomás Araújo,20,2,Portugal,2.0,Gil Vicente,Liga Portugal,Portugal,1,
Ruan,27,11,Brazil,2.0,D.C. United,MLS,United States,0,
Mateusz Klich,32,1,Poland,2.0,D.C. United,MLS,United States,0,
José Marsà,20,2,Spain,2.0,Sporting Gijón,LaLiga2,Spain,1,
Gonzalo Escalante,29,1,Argentina,2.0,Cádiz CF,LaLiga,Spain,1,
Federico Ricca,27,2,Uruguay,2.0,OH Leuven,Jupiler Pro League,Belgium,0,
Abdulkadir Parmak,27,1,Turkey,2.0,Gaziantep FK,Süper Lig,Turkey,1,
Filippo Melegoni,23,1,Italy,2.0,Standard Liège,Jupiler Pro League,Belgium,1,
João Carlos Teixeira,30,0,Portugal,2.0,SH Shenhua,Super League,China,0,
Yassine Meriah,29,2,Tunisia,2.0,Esperance,Ligue I Pro,Tunisia,0,
Vicente Iborra,34,4,Spain,2.0,Levante,LaLiga2,Spain,1,
Daniel Maldini,20,0,Italy,2.0,Spezia Calcio,Serie A,Italy,1,
Jérémie Bela,29,7,Angola,2.0,Clermont Foot,Ligue 1,France,0,
Marcos Guilherme,27,7,Brazil,2.0,Khimki,Premier Liga,Russia,0,
Heitor,22,11,Brazil,2.0,Mirassol-SP,Série B,Brazil,1,
Thuler,23,2,Brazil,2.0,Vissel Kobe,J1 League,Japan,1,
Maxime Leverbe,25,2,France,2.0,Benevento,Serie B,Italy,1,
Opa Nguette,28,7,Senegal,2.0,FC Baniyas,UAE Pro League,United Arab Emirates,0,
Samir Memisevic,29,2,Bosnia-Herzegovina,2.0,Al-Nasr SC,UAE Pro League,United Arab Emirates,0,
Roberto Torres,33,0,Spain,2.0,Foolad,Persian Gulf Pro League,Iran,0,
Jürgen Locadia,28,3,Curacao,2.0,Persepolis,Persian Gulf Pro League,Iran,0,
Gustavo Maia,22,7,Brazil,2.0,Valencia B,Segunda Federación - Gr. III,Spain,1,
Mikael,23,3,Brazil,2.0,Internacional,Série A,Brazil,1,
Bruno Rodrigues,21,2,Portugal,2.0,Karagümrük,Süper Lig,Turkey,1,
Steven Caulker,30,2,Sierra Leone,2.0,Karagümrük,Süper Lig,Turkey,0,
Fernando González,28,4,Mexico,2.0,Chivas,Liga MX Clausura,Mexico,3,
Santiago Ormeño,28,3,Peru,2.0,Chivas,Liga MX Clausura,Mexico,3,
Gabriel Poveda,24,3,Brazil,2.0,Bolívar,División Profesional,Bolivia,1,
Darko Velkovski,27,2,North Macedonia,2.0,Ettifaq FC,Saudi Pro League,Saudi Arabia,0,
Roberto Massimo,21,7,Germany,2.0,Académico Viseu,Liga Sabseg,Portugal,1,
Santiago Naveda,21,4,Mexico,2.0,Miedz Legnica,Ekstraklasa,Poland,1,
Samuele Mulattieri,21,3,Italy,2.0,Frosinone,Serie B,Italy,1,
Gianluca Frabotta,23,8,Italy,2.0,Frosinone,Serie B,Italy,1,
Ali Gholizadeh,26,10,Iran,2.0,Kasimpasa,Süper Lig,Turkey,1,
Pierre Dwomoh,18,1,Belgium,2.0,Braga B,League 3 Promotion Round,Portugal,1,
Tomás Pochettino,26,0,Argentina,2.0,Fortaleza,Série A,Brazil,3,
Thiago Galhardo,32,3,Brazil,2.0,Fortaleza,Série A,Brazil,1,
Pedro Rocha,27,7,Brazil,2.0,Fortaleza,Série A,Brazil,0,
João Carlos Teixeira,29,0,Portugal,2.0,Umm Salal SC,Stars League,Qatar,0,
Alexander Callens,30,2,Peru,2.0,Girona,LaLiga,Spain,0,
Rodrigo Riquelme,22,7,Spain,2.0,Girona,LaLiga,Spain,1,
Paulo Gazzaniga,30,5,Argentina,2.0,Girona,LaLiga,Spain,1,
Roberto López,22,0,Spain,2.0,CD Mirandés,LaLiga2,Spain,1,
Lucas Cavallini,30,3,Canada,2.0,Club Tijuana,Liga MX Clausura,Mexico,0,
Heitor,22,11,Brazil,2.0,Ferroviária,Paulistão A1 - Primeira Fase,Brazil,1,
Ryad Boudebouz,32,0,Algeria,2.0,Al-Ahli,Saudi Arabia,Saudi Arabia,0,
Fabio Abreu,29,3,Angola,2.0,Khor Fakkan,UAE Pro League,United Arab Emirates,3,
Mehdi Abeid,30,1,Algeria,2.0,Khor Fakkan,UAE Pro League,United Arab Emirates,0,
Darío Sarmiento,19,10,Argentina,2.0,Mvd City Torque,Primera División Clausura,Uruguay,1,
