Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Derribos,Derribos,Derribos,Derribos,Derribos,Desafíos,Desafíos,Desafíos,Desafíos,Bloqueos,Bloqueos,Bloqueos,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,36,24,20,12,4,10,18,55.6,8,12,7,5,19,55,20,1,Partidos
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Partidos
122,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,27,1992,19.1,32,19,19,11,2,9,38,23.7,29,22,4,18,11,43,23,1,Partidos
123,José Arnaiz,es ESP,"DL,CC",Osasuna,es La Liga,24,1995,8.8,3,2,0,2,1,0,12,0.0,12,7,0,7,5,8,5,0,Partidos
124,José Arnaiz,es ESP,CC,Leganés,es La Liga,24,1995,3.7,3,0,1,2,0,2,5,40.0,3,4,0,4,2,5,1,0,Partidos
125,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,25,1994,31.3,42,24,15,23,4,16,62,25.8,46,25,6,19,25,67,35,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
126,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,24,1994,33.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,7,2,Partidos
127,Kwadwo Asamoah,gh GHA,"DF,DL",Inter,it Serie A,30,1988,7.1,10,8,4,5,1,6,14,42.9,8,8,1,7,9,19,13,0,Partidos
128,Santiago Ascacíbar,ar ARG,CC,Hertha BSC,de Bundesliga,22,1997,7.0,26,13,15,11,0,11,28,39.3,17,13,2,11,16,42,13,0,Partidos
129,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,30,1989,34.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,15,1,Partidos
130,Marco Asensio,es ESP,DL,Real Madrid,es La Liga,23,1996,3.7,4,3,3,1,0,1,4,25.0,3,2,0,2,1,5,4,0,Partidos
131,Kristoffer Askildsen,no NOR,CC,Sampdoria,it Serie A,18,2001,0.8,1,1,1,0,0,0,0,,0,1,0,1,1,2,0,0,Partidos
132,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,31,1987,36.2,29,19,7,9,13,12,45,26.7,33,16,1,15,22,51,7,0,Partidos
133,Roger Assalé,ci CIV,"DL,CC",Leganés,es La Liga,25,1993,5.9,3,2,1,0,2,1,9,11.1,8,8,0,8,0,3,1,0,Partidos
134,Youcef Atal,dz ALG,"DL,DF",Nice,fr Ligue 1,23,1996,11.1,24,11,15,6,3,13,31,41.9,18,12,1,11,24,48,11,1,Partidos
135,Miguel Atienza,es ESP,CC,Eibar,es La Liga,20,1999,0.3,1,1,0,1,0,1,2,50.0,1,1,1,0,2,3,1,0,Partidos
136,Christian Atsu,gh GHA,"CC,DL",Newcastle Utd,eng Premier League,27,1992,8.3,10,8,5,5,0,5,14,35.7,9,19,0,19,5,15,9,0,Partidos
137,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,30,1989,34.8,31,19,10,12,9,12,51,23.5,39,39,1,38,14,45,16,0,Partidos
138,Emil Audero,it ITA,PO,Sampdoria,it Serie A,22,1997,36.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,21,1,Partidos
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,14,9,6,3,5,5,7,71.4,2,8,0,8,15,29,21,1,Partidos
140,Jean-Kévin Augustin,fr FRA,DL,Monaco,fr Ligue 1,22,1997,3.0,3,0,1,2,0,1,6,16.7,5,2,0,2,3,6,0,0,Partidos
141,Ludwig Augustinsson,se SWE,"DF,CC",Werder Bremen,de Bundesliga,25,1994,10.3,29,12,15,9,5,12,23,52.2,11,19,5,14,10,39,29,0,Partidos
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,93,69,58,27,8,39,69,56.5,30,38,6,32,47,140,98,2,Partidos
143,Mathias Autret,fr FRA,"CC,DL",Brest,fr Ligue 1,28,1991,13.6,23,17,5,11,7,8,25,32.0,17,14,1,13,10,33,3,0,Partidos
144,Ezequiel Ávila,ar ARG,DL,Osasuna,es La Liga,25,1994,17.7,17,12,6,7,4,6,18,33.3,12,12,0,12,3,20,5,0,Partidos
145,Javier Avilés,es ESP,"CC,DL",Leganés,es La Liga,21,1997,2.0,9,7,2,7,0,2,4,50.0,2,3,0,3,3,12,1,0,Partidos
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,34,22,29,5,0,16,27,59.3,11,26,15,11,28,62,73,1,Partidos
147,Taiwo Awoniyi,ng NGA,"DL,CC",Mainz 05,de Bundesliga,21,1997,5.4,2,0,0,2,0,0,4,0.0,4,4,2,2,2,4,3,0,Partidos
