RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
223,Antonín Barák,cz CZE,CC,Lecce,it Serie A,24.0,1994.0,16,1369.0,86.0,40.0,15.2,15,90.0,15,1,19.0,0,1.19,28.0,37.0,-9.0,-0.59,0.46,26.7,33.9,-7.2,-0.47,0.56
224,Federico Barba,it ITA,DF,Valladolid,es La Liga,25.0,1993.0,5,450.0,90.0,13.2,5.0,5,90.0,5,0,,4,0.6,4.0,12.0,-8.0,-1.6,-1.51,4.3,10.4,-6.1,-1.22,-0.86
225,Théo Barbet,fr FRA,DF,Dijon,fr Ligue 1,18.0,2001.0,0,,,,,0,,0,0,,6,,,,,,,,,,,
226,Danilo Barbosa,br BRA,"DF,CC",Nice,fr Ligue 1,23.0,1996.0,16,1122.0,70.0,44.5,12.5,12,89.0,11,4,15.0,7,1.38,17.0,15.0,2.0,0.16,0.1,15.5,20.7,-5.2,-0.41,-0.22
227,Francisco Barbosa,es ESP,PO,Celta Vigo,es La Liga,20.0,1999.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
228,Melvin Bard,fr FRA,DF,Lyon,fr Ligue 1,18.0,2000.0,1,45.0,45.0,1.8,0.5,0,,0,1,45.0,1,3.0,3.0,0.0,3.0,6.0,5.56,0.9,0.1,0.9,1.77,1.42
229,Enis Bardhi,mk MKD,CC,Levante,es La Liga,24.0,1995.0,30,2114.0,70.0,61.8,23.5,23,85.0,16,7,23.0,2,1.33,35.0,34.0,1.0,0.04,0.52,31.1,36.9,-5.8,-0.25,0.37
230,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,34.0,1985.0,21,1890.0,90.0,55.3,21.0,21,90.0,21,0,,10,1.67,26.0,19.0,7.0,0.33,1.16,28.5,25.6,2.9,0.14,0.45
231,Nicolò Barella,it ITA,CC,Inter,it Serie A,22.0,1997.0,27,2013.0,75.0,58.9,22.4,23,83.0,17,4,27.0,1,2.3,45.0,21.0,24.0,1.07,-0.27,40.9,24.1,16.7,0.75,-0.02
232,Philipp Bargfrede,de GER,CC,Werder Bremen,de Bundesliga,30.0,1989.0,15,586.0,39.0,19.2,6.5,6,67.0,0,9,20.0,6,1.27,6.0,11.0,-5.0,-0.77,0.03,8.3,8.3,0.0,0.0,0.58
233,Antonino Barillà,it ITA,CC,Parma,it Serie A,31.0,1988.0,26,1688.0,65.0,49.4,18.8,20,78.0,9,6,22.0,8,1.42,28.0,30.0,-2.0,-0.11,-0.16,23.1,30.2,-7.0,-0.38,0.08
234,Kike Barja,es ESP,"CC,DL",Osasuna,es La Liga,22.0,1997.0,8,313.0,39.0,9.2,3.5,4,68.0,0,4,11.0,2,2.13,6.0,4.0,2.0,0.58,0.86,4.6,3.0,1.5,0.45,0.49
235,Ross Barkley,eng ENG,CC,Chelsea,eng Premier League,25.0,1993.0,21,1103.0,53.0,32.3,12.3,13,72.0,4,8,21.0,7,2.05,27.0,14.0,13.0,1.06,0.98,26.8,11.0,15.8,1.29,0.71
236,Aymen Barkok,ma MAR,"DL,CC",Düsseldorf,de Bundesliga,21.0,1998.0,3,79.0,26.0,2.6,0.9,1,45.0,0,2,17.0,3,0.0,0.0,3.0,-3.0,-3.42,-2.57,0.2,2.4,-2.2,-2.54,-1.86
237,Ashley Barnes,eng ENG,DL,Burnley,eng Premier League,29.0,1989.0,19,1352.0,71.0,39.5,15.0,17,77.0,5,2,25.0,0,1.26,19.0,21.0,-2.0,-0.13,0.08,18.2,15.4,2.8,0.19,0.41
238,Harvey Barnes,eng ENG,"CC,DL",Leicester City,eng Premier League,21.0,1997.0,36,2083.0,58.0,60.9,23.1,24,74.0,4,12,26.0,2,1.61,38.0,24.0,14.0,0.6,-0.2,38.1,27.9,10.2,0.44,0.0
239,Antonio Barragán,es ESP,DF,Betis,es La Liga,32.0,1987.0,12,641.0,53.0,18.7,7.1,7,81.0,5,5,15.0,20,1.08,8.0,11.0,-3.0,-0.42,-0.13,10.0,8.9,1.2,0.16,0.32
240,Antonio Barreca,it ITA,"DF,DL",Genoa,it Serie A,24.0,1995.0,18,1095.0,61.0,32.0,12.2,11,76.0,4,7,37.0,14,1.06,13.0,22.0,-9.0,-0.74,-0.08,13.5,20.9,-7.5,-0.61,-0.47
241,Leandro Barreiro Martins,lu LUX,CC,Mainz 05,de Bundesliga,19.0,2000.0,18,938.0,52.0,30.7,10.4,11,74.0,4,7,18.0,14,1.39,12.0,15.0,-3.0,-0.29,0.48,15.0,14.8,0.2,0.02,0.51
242,Ander Barrenetxea,es ESP,"DL,CC",Real Sociedad,es La Liga,17.0,2001.0,17,442.0,26.0,12.9,4.9,3,66.0,1,14,17.0,9,1.41,7.0,6.0,1.0,0.2,-0.01,6.3,6.6,-0.2,-0.05,-0.23
243,Édgar Barreto,py PAR,CC,Sampdoria,it Serie A,35.0,1984.0,2,90.0,45.0,2.6,1.0,1,45.0,0,1,45.0,14,0.5,1.0,2.0,-1.0,-1.0,-0.57,1.6,1.8,-0.2,-0.22,-0.1
244,Musa Barrow,gm GAM,"DL,CC",Bologna,it Serie A,20.0,1998.0,18,1354.0,75.0,39.6,15.0,14,84.0,10,4,44.0,1,1.33,21.0,27.0,-6.0,-0.4,-0.09,20.3,23.0,-2.6,-0.17,-0.38
