RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,TA2018-2019,TR2018-2019,2a amarilla2018-2019,Fls2018-2019,FR2018-2019,PA2018-2019,Pcz2018-2019,Int2018-2019,TklG2018-2019,Penal ejecutado2018-2019,Penal concedido2018-2019,GC2018-2019,Recup.2018-2019,Ganados2018-2019,Perdidos2018-2019,% de ganados2018-2019
87,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,7,0,0,31,13,0,1,35,27,0,2,0,159,74,60,55.2
88,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,25,1993,33.8,3,0,0,27,52,5,122,41,49,0,1,0,227,9,26,25.7
89,Florin Andone,ro ROU,DL,Brighton,eng Premier League,25,1993,9.8,5,0,0,28,20,4,5,3,2,0,0,0,42,36,73,33.0
90,Benjamin André,fr FRA,CC,Rennes,fr Ligue 1,27,1990,27.7,8,1,1,59,48,5,13,54,60,1,0,0,218,141,98,59.0
183,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,8.4,3,0,0,11,3,1,0,7,7,0,2,0,28,28,13,150.4
93,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,100.0
94,José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,10,0,0,22,17,1,260,41,46,0,1,0,234,49,34,59.0
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,34,1984,11.0,1,0,0,0,1,0,0,1,1,0,0,0,18,4,0,100.0
96,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,31,1986,20.1,3,0,0,22,32,2,147,15,26,0,0,0,114,3,16,15.8
97,Mirco Antenucci,it ITA,DL,SPAL,it Serie A,33,1984,23.7,0,0,0,29,37,17,29,5,9,0,0,0,54,34,41,45.3
98,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,4,0,0,25,19,0,5,69,32,0,1,1,215,83,73,53.2
99,Luca Antonelli,it ITA,DF,Empoli,it Serie A,31,1987,8.4,1,0,0,10,22,3,8,16,11,0,0,0,46,10,9,52.6
100,Mauro Antonio Burruchaga,ar ARG,CC,Chievo,it Serie A,20,1998,0.6,0,0,0,1,0,0,0,0,2,0,0,0,6,1,1,50.0
101,Michail Antonio,jm JAM,"CC,DL",West Ham,eng Premier League,28,1990,23.4,3,0,0,34,44,10,50,18,14,2,0,0,114,79,103,43.4
102,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,30,1987,20.7,5,0,0,29,12,5,93,18,21,0,0,0,84,12,23,34.3
103,Vitorino Antunes,pt POR,"DF,CC",Getafe,es La Liga,31,1987,24.2,5,0,0,37,20,1,141,43,26,0,0,0,151,21,37,36.2
104,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,23,1995,12.0,6,0,0,29,15,4,2,11,19,0,0,0,53,26,32,44.8
105,Dennis Aogo,de GER,CC,Stuttgart,de Bundesliga,31,1987,11.4,1,0,0,9,6,2,52,9,10,0,0,0,63,11,4,73.3
106,Houssem Aouar,dz ALG,CC,Lyon,fr Ligue 1,20,1998,34.0,2,0,0,30,53,11,7,32,38,2,0,0,218,17,33,34.0
107,Emmanuel Apeh,ng NGA,"DL,CC",Celta Vigo,es La Liga,21,1996,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
