Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Toques,Toques,Toques,Toques,Toques,Toques,Toques,Tomas,Tomas,Tomas,Tomas,Tomas,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Recepción,Recepción,Unnamed: 31_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
154,Kristjan Asllani,al ALB,CC,Inter,it Serie A,20,2002,6.6,507,8,115,309,87,2,507,5,2,40.0,3,60.0,331,1588,634,6,9,1,3,2,389,6,Partidos
155,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,34,1987,31.9,1487,26,111,643,748,145,1484,56,22,39.3,25,44.6,1030,5114,2370,80,58,30,52,46,1199,239,Partidos
156,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,22,2000,2.9,200,15,51,110,42,6,200,5,1,20.0,3,60.0,122,727,411,10,7,2,4,2,105,13,Partidos
157,Youcef Atal,dz ALG,"DF,CC",Nice,fr Ligue 1,26,1996,8.7,632,22,149,295,202,18,632,43,19,44.2,22,51.2,443,2882,1605,38,29,8,10,5,402,63,Partidos
158,Valentin Atangana Edoa,fr FRA,CC,Reims,fr Ligue 1,16,2005,1.9,76,5,21,32,24,8,76,5,0,0.0,3,60.0,50,319,135,5,3,2,3,4,45,6,Partidos
159,Pierre-Emerick Aubameyang,ga GAB,DL,Chelsea,eng Premier League,33,1989,6.2,161,7,16,69,79,23,161,5,3,60.0,2,40.0,86,529,259,9,6,4,11,4,116,29,Partidos
160,Pierre-Emerick Aubameyang,ga GAB,DL,Barcelona,es La Liga,33,1989,0.1,4,0,1,2,1,1,4,0,0,,0,,2,8,1,0,0,0,0,0,2,0,Partidos
161,Emil Audero,it ITA,PO,Sampdoria,it Serie A,25,1997,25.0,982,811,968,17,0,0,982,0,0,,0,,548,2997,1827,0,0,0,1,0,414,0,Partidos
162,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,27,1994,34.0,1981,88,615,856,544,21,1981,64,36,56.3,23,35.9,1042,5837,3177,84,43,5,21,17,1167,153,Partidos
163,Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28,1994,0.9,51,3,19,15,17,2,51,1,0,0.0,1,100.0,29,180,27,0,2,0,0,0,21,3,Partidos
164,Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28,1994,1.5,80,6,28,32,20,2,80,0,0,,0,,39,132,62,0,1,0,0,0,39,6,Partidos
165,Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,29,1992,21.6,1238,107,484,505,263,13,1238,32,16,50.0,11,34.4,520,2394,1398,37,26,2,31,18,574,50,Partidos
166,Mathias Autret,fr FRA,"CC,DL",Auxerre,fr Ligue 1,31,1991,14.3,722,24,123,366,239,24,721,25,10,40.0,14,56.0,512,2801,950,20,12,3,18,4,471,58,Partidos
167,Ezequiel Ávila,ar ARG,"DL,CC",Osasuna,es La Liga,28,1994,19.0,739,18,83,275,383,61,736,34,17,50.0,14,41.2,422,1922,710,23,18,6,39,18,509,96,Partidos
168,Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,35,1986,19.9,876,119,508,369,5,2,876,1,0,0.0,0,0.0,576,3235,1495,3,1,0,3,0,508,1,Partidos
169,Taiwo Awoniyi,ng NGA,DL,Nott'ham Forest,eng Premier League,24,1997,15.6,435,22,62,177,203,55,435,22,7,31.8,12,54.5,246,1269,530,18,13,9,68,29,284,55,Partidos
170,Yasin Ayari,se SWE,CC,Brighton,eng Premier League,18,2003,0.7,30,0,5,18,8,1,30,1,0,0.0,0,0.0,19,76,44,0,0,0,2,0,25,2,Partidos
