RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,GC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,% Cmp,Int..1,TI,%deLanzamientos,Long. prom.,Int..2,%deLanzamientos.1,Long. prom..1,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
162,Francesco Rossi,it ITA,PO,Atalanta,it Serie A,26,1991,0.1,1.0,0.0,0.0,1.0,0.0,0.3,0.17,-0.7,-7.43,1.0,1.0,100.0,3.0,2.0,33.3,33.3,0.0,,,1.0,0.0,0.0,0.0,0.0,
163,Rubén,es ESP,PO,La Coruña,es La Liga,33,1984,27.5,58.0,2.0,3.0,9.0,2.0,47.3,0.34,-8.7,-0.32,167.0,421.0,39.7,474.0,106.0,52.5,39.7,234.0,73.5,53.8,443.0,23.0,5.2,12.0,0.44,11.3
164,Stéphane Ruffier,fr FRA,PO,Saint-Étienne,fr Ligue 1,30,1986,34.6,44.0,5.0,2.0,4.0,1.0,48.6,0.29,5.6,0.16,195.0,519.0,37.6,865.0,131.0,39.2,34.5,276.0,65.2,45.3,532.0,28.0,5.3,21.0,0.61,12.9
165,Gerónimo Rulli,ar ARG,PO,Real Sociedad,es La Liga,25,1992,26.0,45.0,4.0,2.0,5.0,1.0,38.9,0.33,-5.1,-0.19,143.0,361.0,39.6,959.0,114.0,29.2,31.9,151.0,53.6,43.4,301.0,18.0,6.0,34.0,1.31,15.4
166,Mathew Ryan,au AUS,PO,Brighton,eng Premier League,25,1992,38.0,54.0,1.0,1.0,15.0,5.0,48.8,0.28,-0.2,-0.01,345.0,875.0,39.4,823.0,122.0,66.5,44.5,352.0,93.2,57.9,623.0,38.0,6.1,17.0,0.45,10.2
167,Mamadou Samassa,ml MLI,PO,Troyes,fr Ligue 1,27,1990,21.0,31.0,2.0,0.0,3.0,1.0,28.9,0.26,-1.1,-0.05,130.0,414.0,31.4,475.0,99.0,51.4,41.3,184.0,92.4,59.6,365.0,21.0,5.8,21.0,1.0,13.8
168,Brice Samba,fr FRA,PO,Caen,fr Ligue 1,23,1994,3.5,4.0,1.0,0.0,0.0,0.0,6.6,0.3,2.6,0.74,32.0,65.0,49.2,74.0,14.0,55.4,41.5,29.0,82.8,56.4,37.0,3.0,8.1,6.0,1.71,14.5
169,Antonio Santurro,do DOM,PO,Bologna,it Serie A,25,1992,1.0,1.0,0.0,0.0,0.0,0.0,1.1,0.22,0.1,0.08,15.0,37.0,40.5,31.0,4.0,71.0,47.5,15.0,100.0,57.1,25.0,2.0,8.0,1.0,1.0,11.5
170,Kasper Schmeichel,dk DEN,PO,Leicester City,eng Premier League,30,1986,32.9,47.0,1.0,3.0,11.0,1.0,39.5,0.27,-6.5,-0.2,304.0,792.0,38.4,866.0,107.0,61.7,43.8,273.0,94.5,63.9,500.0,28.0,5.6,54.0,1.64,16.3
171,Alexander Schwolow,de GER,PO,Freiburg,de Bundesliga,25,1992,32.3,53.0,4.0,1.0,7.0,4.0,41.4,0.25,-7.6,-0.24,313.0,779.0,40.2,1041.0,123.0,49.1,40.8,307.0,87.3,63.1,529.0,28.0,5.3,22.0,0.68,14.2
