RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG
199,Harvey Barnes,eng ENG,"CC,DL",Leicester City,eng Premier League,19.0,1997.0,0.1,0,1.0,0,0.0,9.0,0.0,0.0,,9.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
200,Antonio Barragán,es ESP,DF,Betis,es La Liga,30.0,1987.0,26.4,0,9.0,4,44.4,0.34,0.15,0.0,0.0,17.7,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7
201,Antonio Barreca,it ITA,DF,Torino,it Serie A,22.0,1995.0,5.2,0,1.0,0,0.0,0.19,0.0,0.0,,23.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0
202,Édgar Barreto,py PAR,CC,Sampdoria,it Serie A,33.0,1984.0,21.8,1,21.0,6,28.6,0.96,0.27,0.05,0.17,20.5,0.0,0,0,1.3,1.3,0.06,-0.3,-0.3
203,Barri,es ESP,"CC,DL",Getafe,es La Liga,21.0,1995.0,1.3,0,1.0,1,100.0,0.8,0.8,0.0,0.0,20.3,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
204,Musa Barrow,gm GAM,DL,Atalanta,it Serie A,18.0,1998.0,4.9,3,26.0,14,53.8,5.28,2.84,0.12,0.21,16.3,0.0,0,0,2.1,2.1,0.08,0.9,0.9
205,Gareth Barry,eng ENG,CC,West Brom,eng Premier League,36.0,1981.0,21.4,1,16.0,6,37.5,0.75,0.28,0.06,0.17,18.2,1.0,0,0,1.6,1.6,0.1,-0.6,-0.6
206,Fin Bartels,de GER,DL,Werder Bremen,de Bundesliga,30.0,1987.0,12.5,2,22.0,9,40.9,1.77,0.72,0.09,0.22,17.1,0.0,0,0,2.1,2.1,0.09,-0.1,-0.1
207,Kyle Bartley,eng ENG,DF,Swansea City,eng Premier League,26.0,1991.0,2.6,0,2.0,0,0.0,0.77,0.0,0.0,,9.5,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
208,Marc Bartra,es ESP,DF,Betis,es La Liga,26.0,1991.0,15.8,1,13.0,4,30.8,0.82,0.25,0.08,0.25,23.4,1.0,0,0,0.8,0.8,0.06,0.2,0.2
209,Marc Bartra,es ESP,DF,Dortmund,de Bundesliga,26.0,1991.0,9.0,2,5.0,3,60.0,0.56,0.33,0.4,0.67,21.4,0.0,0,0,0.2,0.2,0.03,1.8,1.8
210,Andrea Barzagli,it ITA,DF,Juventus,it Serie A,36.0,1981.0,16.1,0,1.0,0,0.0,0.06,0.0,0.0,,22.8,0.0,0,0,0.0,0.0,0.04,0.0,0.0
211,Daniele Baselli,it ITA,CC,Torino,it Serie A,25.0,1992.0,28.0,4,35.0,9,25.7,1.25,0.32,0.11,0.44,19.1,0.0,0,0,3.8,3.8,0.11,0.2,0.2
212,Nicolas Basin,fr FRA,DF,Metz,fr Ligue 1,19.0,1998.0,3.5,1,2.0,1,50.0,0.58,0.29,0.5,1.0,28.7,0.0,0,0,0.1,0.1,0.06,0.9,0.9
