Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,ACT,ACT,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,ACG,ACG,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
323,Danny Blum,de GER,DL,Bochum,de Bundesliga,30,1991,3.8,19,4.94,13,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
324,Myron Boadu,nl NED,DL,Monaco,fr Ligue 1,20,2001,10.7,22,2.07,16,0,3,0,3,0,5,0.47,3,0,1,0,1,0,Partidos
325,Jérôme Boateng,de GER,DF,Lyon,fr Ligue 1,32,1988,18.0,23,1.28,20,1,0,2,0,0,3,0.17,3,0,0,0,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
326,Kevin-Prince Boateng,gh GHA,"CC,DL",Hertha BSC,de Bundesliga,34,1987,7.7,19,2.46,16,0,0,1,2,0,0,0.00,0,0,0,0,0,0,Partidos
327,Antonin Bobichon,fr FRA,"CC,DL",Angers,fr Ligue 1,25,1995,0.4,2,4.74,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
328,Herbert Bockhorn,de GER,DF,Bochum,de Bundesliga,26,1995,9.4,15,1.78,8,1,2,0,4,0,1,0.12,0,0,1,0,0,0,Partidos
329,Jean-Paul Boëtius,nl NED,CC,Mainz 05,de Bundesliga,27,1994,20.0,62,3.10,41,14,1,2,3,1,6,0.30,4,1,0,1,0,0,Partidos
330,Jeremie Boga,ci CIV,"DL,CC",Atalanta,it Serie A,24,1997,8.5,51,6.01,32,6,6,3,2,2,0,0.00,0,0,0,0,0,0,Partidos
331,Jeremie Boga,ci CIV,"DL,CC",Sassuolo,it Serie A,24,1997,7.4,24,3.22,16,0,5,1,2,0,4,0.54,2,0,1,0,1,0,Partidos
332,Luka Bogdan,hr CRO,DF,Salernitana,it Serie A,25,1996,4.4,1,0.23,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
333,Emil Bohinen,no NOR,CC,Salernitana,it Serie A,22,1999,7.8,25,3.22,15,7,2,0,1,0,1,0.13,0,1,0,0,0,0,Partidos
334,Quentin Boisgard,fr FRA,"CC,DL",Lorient,fr Ligue 1,24,1997,10.6,27,2.54,17,6,0,1,3,0,2,0.19,2,0,0,0,0,0,Partidos
335,Charles Boli,fr FRA,"CC,DF",Lens,fr Ligue 1,22,1998,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
336,Willy Boly,ci CIV,DF,Wolves,eng Premier League,30,1991,10.0,3,0.30,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Partidos
337,Giacomo Bonaventura,it ITA,CC,Fiorentina,it Serie A,31,1989,25.2,83,3.30,69,1,3,5,5,0,13,0.52,9,0,0,2,2,0,Partidos
338,Federico Bonazzoli,it ITA,"DL,CC",Salernitana,it Serie A,24,1997,20.7,41,1.98,26,0,1,6,6,2,1,0.05,1,0,0,0,0,0,Partidos
339,Tarsis Bonga,de GER,"CC,DL",Bochum,de Bundesliga,24,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
340,Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,25,1996,13.4,12,0.89,9,0,1,2,0,0,2,0.15,1,0,0,1,0,0,Partidos
341,Solomon Bonnah,nl NED,DF,RB Leipzig,de Bundesliga,17,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
342,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,34,1987,22.3,18,0.81,17,0,0,1,0,0,2,0.09,2,0,0,0,0,0,Partidos
343,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,22,1999,22.3,5,0.22,5,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Partidos
344,Rafael Borré,co COL,DL,Eint Frankfurt,de Bundesliga,25,1995,26.4,66,2.50,46,0,6,8,6,0,9,0.34,6,0,2,1,0,0,Partidos
345,Sven Botman,nl NED,DF,Lille,fr Ligue 1,21,2000,25.0,18,0.72,16,1,1,0,0,0,2,0.08,1,1,0,0,0,0,Partidos
346,Denis Bouanga,ga GAB,"DL,CC",Saint-Étienne,fr Ligue 1,26,1994,27.1,87,3.21,49,7,17,8,3,3,12,0.44,5,3,1,2,0,1,Partidos
347,Hicham Boudaoui,dz ALG,CC,Nice,fr Ligue 1,21,1999,18.0,32,1.78,27,0,0,2,3,0,4,0.22,4,0,0,0,0,0,Partidos
348,Ryad Boudebouz,dz ALG,"CC,DL",Saint-Étienne,fr Ligue 1,31,1990,25.0,96,3.84,75,13,4,2,2,0,6,0.24,4,0,1,1,0,0,Partidos
349,Sofiane Boufal,ma MAR,"DL,CC",Angers,fr Ligue 1,27,1993,25.9,137,5.29,61,31,21,7,13,4,15,0.58,7,1,1,2,4,0,Partidos
350,Farid Boulaya,dz ALG,"CC,DL",Metz,fr Ligue 1,28,1993,17.0,46,2.71,31,13,0,1,0,1,2,0.12,0,2,0,0,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
