RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
2180,Nathan Redmond,eng ENG,"CC,DL",Southampton,eng Premier League,26,1994,19.3,30.0,17,14.0,12.0,4.0,8.0,24.0,33.3,16.0,24.0,2.0,22.0,11,41.0,9.0,0.0
2181,Harrison Reed,eng ENG,CC,Fulham,eng Premier League,25,1995,25.0,63.0,38,28.0,28.0,7.0,29.0,73.0,39.7,44.0,34.0,11.0,23.0,50,113.0,31.0,1.0
2182,Vasco Regini,it ITA,DF,Sampdoria,it Serie A,29,1990,1.0,2.0,2,2.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,1,3.0,5.0,0.0
2183,Sergio Reguilón,es ESP,DF,Tottenham,eng Premier League,23,1996,24.9,47.0,25,30.0,13.0,4.0,23.0,48.0,47.9,25.0,39.0,7.0,32.0,32,79.0,50.0,1.0
2184,Bobby Reid,jm JAM,"CC,DL",Fulham,eng Premier League,27,1993,26.4,31.0,15,17.0,10.0,4.0,18.0,39.0,46.2,21.0,19.0,5.0,14.0,21,52.0,39.0,0.0
2185,Pepe Reina,es ESP,PO,Lazio,it Serie A,37,1982,29.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,6.0,0.0
2186,Jeff Reine-Adélaïde,fr FRA,"CC,DL",Nice,fr Ligue 1,22,1998,11.8,7.0,4,1.0,4.0,2.0,2.0,9.0,22.2,7.0,10.0,1.0,9.0,4,11.0,6.0,0.0
2187,Jeff Reine-Adélaïde,fr FRA,DL,Lyon,fr Ligue 1,22,1998,0.3,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2188,Reinier,br BRA,"CC,DL",Dortmund,de Bundesliga,18,2002,2.9,9.0,4,6.0,1.0,2.0,2.0,4.0,50.0,2.0,4.0,1.0,3.0,2,11.0,0.0,0.0
2189,Francisco Reis Ferreira,pt POR,DF,Valencia,es La Liga,23,1997,2.0,1.0,1,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0,1.0,6.0,0.0
2190,Rocco Reitz,de GER,CC,M'Gladbach,de Bundesliga,18,2002,0.7,3.0,2,0.0,3.0,0.0,2.0,2.0,100.0,0.0,3.0,1.0,2.0,1,4.0,1.0,0.0
2191,Karim Rekik,nl NED,DF,Sevilla,es La Liga,25,1994,7.3,7.0,5,2.0,5.0,0.0,1.0,4.0,25.0,3.0,8.0,3.0,5.0,6,13.0,17.0,0.0
2192,Álex Remiro,es ESP,PO,Real Sociedad,es La Liga,25,1995,38.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,3.0,14.0,0.0
2193,Panagiotis Retsos,gr GRE,DF,Saint-Étienne,fr Ligue 1,21,1998,3.0,5.0,3,5.0,0.0,0.0,3.0,7.0,42.9,4.0,1.0,1.0,0.0,3,8.0,12.0,0.0
2194,Marco Reus,de GER,"CC,DL",Dortmund,de Bundesliga,31,1989,25.3,33.0,16,9.0,16.0,8.0,9.0,33.0,27.3,24.0,22.0,2.0,20.0,14,47.0,13.0,0.0
2195,Elvis Rexhbeçaj,de GER,"CC,DL",Köln,de Bundesliga,22,1997,20.4,53.0,32,17.0,27.0,9.0,19.0,53.0,35.8,34.0,32.0,7.0,25.0,26,79.0,18.0,0.0
2196,Oriol Rey,es ESP,CC,Valladolid,es La Liga,22,1998,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0
2197,Gio Reyna,us USA,"CC,DL",Dortmund,de Bundesliga,17,2002,22.0,24.0,13,9.0,8.0,7.0,9.0,25.0,36.0,16.0,14.0,1.0,13.0,10,34.0,11.0,0.0
2198,Baptiste Reynet,fr FRA,PO,Nîmes,fr Ligue 1,29,1990,38.0,2.0,1,2.0,0.0,0.0,2.0,4.0,50.0,2.0,1.0,0.0,1.0,1,3.0,9.0,2.0
2199,Bryan Reynolds,us USA,DF,Roma,it Serie A,19,2001,3.1,4.0,2,1.0,1.0,2.0,1.0,5.0,20.0,4.0,4.0,0.0,4.0,6,10.0,4.0,0.0
2200,Franck Ribéry,fr FRA,DL,Fiorentina,it Serie A,37,1983,23.9,24.0,11,4.0,9.0,11.0,5.0,29.0,17.2,24.0,11.0,2.0,9.0,3,27.0,1.0,0.0
2201,Federico Ricci,it ITA,DL,Sassuolo,it Serie A,26,1994,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2202,Giacomo Ricci,it ITA,DF,Parma,it Serie A,23,1996,0.7,3.0,1,1.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,1,4.0,4.0,0.0
2203,Matteo Ricci,it ITA,CC,Spezia,it Serie A,26,1994,24.8,40.0,23,14.0,24.0,2.0,27.0,52.0,51.9,25.0,24.0,4.0,20.0,34,74.0,13.0,0.0
2204,Declan Rice,eng ENG,CC,West Ham,eng Premier League,21,1999,32.0,59.0,35,33.0,25.0,1.0,21.0,51.0,41.2,30.0,39.0,11.0,28.0,59,118.0,41.0,0.0
2205,Chris Richards,us USA,DF,Hoffenheim,de Bundesliga,20,2000,10.5,19.0,8,12.0,6.0,1.0,10.0,16.0,62.5,6.0,13.0,4.0,9.0,21,40.0,40.0,1.0
2206,Chris Richards,us USA,DF,Bayern Munich,de Bundesliga,20,2000,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0
2207,Lewis Richardson,eng ENG,"DL,CC",Burnley,eng Premier League,17,2003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2208,Richarlison,br BRA,DL,Everton,eng Premier League,23,1997,31.8,50.0,32,21.0,22.0,7.0,16.0,51.0,31.4,35.0,28.0,3.0,25.0,14,64.0,36.0,1.0
2209,Marco Richter,de GER,"DL,CC",Augsburg,de Bundesliga,22,1997,15.7,17.0,9,3.0,12.0,2.0,7.0,23.0,30.4,16.0,10.0,0.0,10.0,6,23.0,9.0,0.0
2210,Mikel Rico,es ESP,CC,Huesca,es La Liga,35,1984,24.3,24.0,12,14.0,8.0,2.0,11.0,34.0,32.4,23.0,20.0,3.0,17.0,23,47.0,22.0,0.0
2211,Sergio Rico,es ESP,PO,Paris S-G,fr Ligue 1,26,1993,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
2212,Jaïro Riedewald,nl NED,CC,Crystal Palace,eng Premier League,23,1996,20.2,34.0,15,13.0,17.0,4.0,16.0,36.0,44.4,20.0,39.0,7.0,32.0,29,63.0,25.0,0.0
2213,Emiliano Rigoni,ar ARG,CC,Elche,es La Liga,27,1993,12.7,12.0,7,3.0,8.0,1.0,3.0,15.0,20.0,12.0,16.0,1.0,15.0,6,18.0,9.0,0.0
2214,Tomás Rincón,ve VEN,CC,Torino,it Serie A,32,1988,31.6,68.0,38,27.0,33.0,8.0,36.0,71.0,50.7,35.0,32.0,7.0,25.0,31,99.0,44.0,0.0
2215,Luis Rioja,es ESP,"CC,DL",Alavés,es La Liga,26,1993,23.2,21.0,14,11.0,7.0,3.0,7.0,39.0,17.9,32.0,23.0,1.0,22.0,20,41.0,30.0,0.0
2216,Renaud Ripart,fr FRA,"CC,DL",Nîmes,fr Ligue 1,27,1993,33.9,52.0,30,25.0,19.0,8.0,26.0,84.0,31.0,58.0,58.0,12.0,46.0,36,88.0,53.0,0.0
2217,Andrea Rispoli,it ITA,DF,Crotone,it Serie A,31,1988,7.2,6.0,3,2.0,3.0,1.0,2.0,7.0,28.6,5.0,12.0,3.0,9.0,5,11.0,15.0,1.0
2218,Mihailo Ristić,rs SRB,DF,Montpellier,fr Ligue 1,24,1995,24.8,45.0,22,25.0,13.0,7.0,28.0,44.0,63.6,16.0,30.0,9.0,21.0,26,71.0,57.0,0.0
2219,Matt Ritchie,sct SCO,"DF,CC",Newcastle Utd,eng Premier League,30,1989,15.0,10.0,3,5.0,3.0,2.0,3.0,17.0,17.6,14.0,17.0,2.0,15.0,12,22.0,47.0,0.0
2220,Maxence Rivera,fr FRA,"CC,DL",Saint-Étienne,fr Ligue 1,18,2002,2.7,12.0,10,6.0,4.0,2.0,4.0,10.0,40.0,6.0,5.0,0.0,5.0,1,13.0,0.0,0.0
2221,Emmanuel Rivière,fr FRA,DL,Crotone,it Serie A,30,1990,7.1,2.0,1,2.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,4.0,1,3.0,0.0,0.0
2222,Rober,es ESP,"DF,CC",Levante,es La Liga,25,1995,15.8,14.0,7,8.0,3.0,3.0,8.0,18.0,44.4,10.0,24.0,16.0,8.0,35,49.0,52.0,1.0
2223,Roberto,es ESP,PO,Valladolid,es La Liga,34,1986,13.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,7.0,0.0
2224,Sergi Roberto,es ESP,"DF,DL",Barcelona,es La Liga,28,1992,10.5,9.0,6,5.0,2.0,2.0,7.0,13.0,53.8,6.0,12.0,6.0,6.0,10,19.0,20.0,0.0
2225,Tyler Roberts,wls WAL,"CC,DL",Leeds United,eng Premier League,21,1999,14.9,15.0,13,1.0,11.0,3.0,5.0,22.0,22.7,17.0,17.0,2.0,15.0,9,24.0,12.0,0.0
