RL2020-2021,Jugador2020-2021,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,Toques2020-2021,Def. pen.2020-2021,3.º def.2020-2021,3.º cent.2020-2021,3.º ataq.2020-2021,Ataq. pen.2020-2021,Balón vivo2020-2021,Att2020-2021,Succ2020-2021,Exitosa%2020-2021,Tkld2020-2021,Tkld%2020-2021,Transportes2020-2021,Dist. tot.2020-2021,Dist. prg.2020-2021,PrgC2020-2021,1/32020-2021,TAP2020-2021,Errores de control2020-2021,Des2020-2021,Rec2020-2021,PrgR2020-2021
532,Marcus Coco,fr FRA,"CC,DL",Nantes,fr Ligue 1,24,1996,16.4,814.0,21.0,121.0,420.0,284.0,33.0,814.0,41.0,23.0,56.1,18.0,43.9,451.0,2586.0,1072.0,36.0,31.0,6.0,51.0,35.0,574.0,97.0
533,Coke,es ESP,DF,Levante,es La Liga,33,1987,9.3,566.0,42.0,237.0,235.0,96.0,9.0,566.0,7.0,4.0,57.1,3.0,42.9,285.0,1203.0,589.0,10.0,7.0,3.0,8.0,3.0,331.0,23.0
534,Séamus Coleman,ie IRL,"DF,CC",Everton,eng Premier League,31,1988,17.9,964.0,73.0,320.0,422.0,237.0,29.0,964.0,33.0,20.0,60.6,13.0,39.4,540.0,3113.0,1426.0,31.0,28.0,4.0,27.0,23.0,579.0,90.0
535,Ebrima Colley,gm GAM,"CC,DL",Hellas Verona,it Serie A,20,2000,8.2,371.0,2.0,27.0,155.0,196.0,34.0,371.0,31.0,18.0,58.1,13.0,41.9,260.0,1909.0,805.0,28.0,34.0,8.0,34.0,19.0,301.0,95.0
536,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,27,1992,28.8,1679.0,232.0,919.0,717.0,53.0,21.0,1679.0,3.0,2.0,66.7,1.0,33.3,909.0,4439.0,2389.0,12.0,8.0,0.0,8.0,1.0,993.0,0.0
537,Simone Colombi,it ITA,PO,Parma,it Serie A,29,1991,2.0,58.0,50.0,57.0,1.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,28.0,112.0,86.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
538,Lorenzo Colombo,it ITA,DL,Milan,it Serie A,18,2002,1.0,26.0,2.0,4.0,12.0,11.0,5.0,26.0,2.0,1.0,50.0,1.0,50.0,13.0,138.0,100.0,4.0,1.0,1.0,2.0,1.0,15.0,3.0
539,Racine Coly,sn SEN,CC,Nice,fr Ligue 1,24,1995,0.2,21.0,1.0,2.0,16.0,3.0,0.0,21.0,1.0,1.0,100.0,0.0,0.0,12.0,77.0,59.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0
540,Kingsley Coman,fr FRA,"DL,CC",Bayern Munich,de Bundesliga,24,1996,19.5,1091.0,7.0,85.0,334.0,681.0,121.0,1091.0,92.0,56.0,60.9,36.0,39.1,764.0,5409.0,2789.0,103.0,45.0,43.0,49.0,38.0,891.0,268.0
541,Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,35,1985,36.6,1886.0,231.0,964.0,878.0,51.0,21.0,1886.0,6.0,4.0,66.7,2.0,33.3,979.0,4746.0,2768.0,26.0,6.0,1.0,15.0,3.0,1107.0,4.0
542,Aaron Connolly,ie IRL,DL,Brighton,eng Premier League,20,2000,8.8,174.0,1.0,12.0,57.0,108.0,35.0,174.0,11.0,5.0,45.5,6.0,54.5,106.0,652.0,276.0,12.0,11.0,5.0,27.0,8.0,134.0,58.0
543,Andrea Consigli,it ITA,PO,Sassuolo,it Serie A,33,1987,37.0,1464.0,1075.0,1444.0,20.0,0.0,0.0,1464.0,0.0,0.0,0.0,0.0,0.0,859.0,4714.0,3211.0,0.0,0.0,0.0,1.0,0.0,712.0,0.0
1089,Andrea Conti,it ITA,DF,Milan,it Serie A,26,1994,9.3,585.0,31.0,203.0,286.0,100.0,14.0,585.0,7.0,4.0,140.0,3.0,60.0,269.0,1345.0,888.0,23.0,13.0,0.0,8.0,4.0,332.0,21.0
546,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,28,1991,24.3,1934.0,207.0,1087.0,806.0,51.0,23.0,1934.0,4.0,3.0,75.0,1.0,25.0,1122.0,5979.0,3577.0,12.0,8.0,0.0,7.0,1.0,1242.0,1.0
547,Francis Coquelin,fr FRA,CC,Villarreal,es La Liga,29,1991,8.2,586.0,21.0,129.0,363.0,103.0,13.0,586.0,15.0,12.0,80.0,3.0,20.0,329.0,1254.0,656.0,10.0,9.0,1.0,6.0,6.0,419.0,20.0
