RL2020-2021,Jugador2020-2021,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,ACT2020-2021,SCA902020-2021,PassLive2020-2021,PassDead2020-2021,HASTA2020-2021,Dis2020-2021,FR2020-2021,Def2020-2021,ACG2020-2021,GCA902020-2021,PassLive.12020-2021,PassDead.12020-2021,HASTA.12020-2021,Dis.12020-2021,FR.12020-2021,Def.12020-2021
2299,Bukayo Saka,eng ENG,"DL,CC",Arsenal,eng Premier League,18,2001,28.4,108.0,3.81,71.0,12.0,8.0,9.0,8.0,0.0,12.0,0.42,9.0,0.0,1.0,0.0,2.0,0.0
2300,Hiroki Sakai,jp JPN,DF,Marseille,fr Ligue 1,30,1990,26.5,32.0,1.21,31.0,0.0,1.0,0.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
2301,Moïse Sakava,cm CMR,CC,Reims,fr Ligue 1,19,2000,0.1,1.0,11.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2302,Mamadou Sakho,fr FRA,DF,Crystal Palace,eng Premier League,30,1990,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2303,Jacopo Sala,it ITA,DF,Spezia,it Serie A,28,1991,4.2,7.0,1.68,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0
2304,Mohamed Salah,eg EGY,DL,Liverpool,eng Premier League,28,1992,34.2,134.0,3.92,104.0,1.0,7.0,13.0,7.0,2.0,16.0,0.47,12.0,0.0,0.0,2.0,2.0,0.0
2305,Eddie Salcedo,it ITA,"CC,DL",Hellas Verona,it Serie A,18,2001,8.4,12.0,1.43,9.0,1.0,0.0,0.0,2.0,0.0,2.0,0.24,1.0,0.0,0.0,0.0,1.0,0.0
2306,William Saliba,fr FRA,DF,Nice,fr Ligue 1,19,2001,20.0,10.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
2307,Romain Salin,fr FRA,PO,Rennes,fr Ligue 1,36,1984,15.0,1.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2308,Mohammed Salisu,gh GHA,DF,Southampton,eng Premier League,21,1999,9.4,5.0,0.53,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
