Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Toques,Toques,Toques,Toques,Toques,Toques,Toques,Tomas,Tomas,Tomas,Tomas,Tomas,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Transportes,Recepción,Recepción,Unnamed: 31_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
74,Ibrahim Amadou,fr FRA,CC,Leganés,es La Liga,26,1993,8.6,342,9,71,209,63,8,342,6,4,66.7,2,33.3,177,831,444,9,7,1,5,3,208,10,Partidos
75,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,29,1989,18.8,1098,35,241,728,146,7,1098,33,26,78.8,7,21.2,626,3565,1691,24,27,3,31,19,727,28,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Partidos
76,Amath,sn SEN,CC,Getafe,es La Liga,23,1996,0.7,34,0,2,16,16,1,34,10,5,50.0,5,50.0,20,132,56,0,1,1,3,2,20,4,Partidos
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1591,78,510,746,352,28,1591,52,30,57.7,22,42.3,788,4457,2377,62,54,9,32,19,835,92,Partidos
78,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,22,1997,6.1,302,5,24,124,159,30,302,44,25,56.8,19,43.2,185,1476,713,31,24,7,24,23,219,49,Partidos
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,844,75,287,392,173,11,844,24,11,45.8,13,54.2,416,2730,1615,38,28,5,18,10,427,27,Partidos
80,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,22,1996,20.6,1355,15,158,712,504,50,1355,44,30,68.2,14,31.8,723,4405,2166,53,43,13,41,19,905,95,Partidos
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,94,9,38,54,2,1,94,0,0,,0,,64,340,237,0,0,0,0,0,70,0,Partidos
82,Opoku Ampomah,gh GHA,"DL,CC",Düsseldorf,de Bundesliga,23,1996,5.6,201,5,31,69,108,22,201,39,19,48.7,20,51.3,140,1089,520,23,10,13,28,10,138,50,Partidos
83,Sofyan Amrabat,ma MAR,CC,Hellas Verona,it Serie A,22,1996,32.4,2062,54,355,1357,395,22,2061,103,75,72.8,28,27.2,1388,10322,4827,84,67,5,57,56,1421,52,Partidos
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1480,166,729,721,32,13,1480,3,3,100.0,0,0.0,905,4909,3029,6,5,0,3,2,1105,1,Partidos
85,Djavan Anderson,nl NED,"DL,DF",Lazio,it Serie A,24,1995,1.9,90,6,32,30,30,4,90,5,3,60.0,2,40.0,42,313,136,4,3,1,5,5,37,4,Partidos
86,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,26,1993,16.6,1168,19,143,564,486,56,1168,92,63,68.5,29,31.5,764,5752,3044,106,72,21,48,30,884,132,Partidos
87,Sebastian Andersson,se SWE,DL,Union Berlin,de Bundesliga,28,1991,29.8,1167,42,80,524,573,120,1165,52,21,40.4,31,59.6,637,2876,854,34,29,12,94,67,937,204,Partidos
88,Florin Andone,ro ROU,DL,Brighton,eng Premier League,26,1993,0.8,34,2,7,9,18,3,34,7,2,28.6,5,71.4,19,178,93,2,3,1,5,1,17,4,Partidos
89,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,28,1990,22.8,1513,47,240,1041,248,21,1513,25,16,64.0,9,36.0,723,3471,1615,25,25,3,17,20,922,47,Partidos
90,Lorenzo Andrenacci,it ITA,PO,Brescia,it Serie A,24,1995,5.9,182,174,182,0,0,0,182,0,0,,0,,68,364,265,0,0,0,0,0,24,0,Partidos
91,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,24,1994,28.6,1542,60,350,897,312,28,1542,41,28,68.3,13,31.7,768,3284,1325,25,22,5,36,17,831,31,Partidos
92,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,22,1996,11.4,708,9,100,525,93,3,708,21,15,71.4,6,28.6,432,2657,1381,25,21,2,18,17,504,17,Partidos
93,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,29,1990,8.8,256,4,12,139,105,21,255,11,8,72.7,3,27.3,138,504,223,10,4,2,19,13,201,37,Partidos
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1753,87,429,869,491,8,1753,35,27,77.1,8,22.9,798,4091,2068,50,59,4,30,11,802,62,Partidos
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,35,1984,13.0,491,419,491,0,0,0,491,2,2,100.0,0,0.0,255,1155,767,0,0,0,0,0,217,0,Partidos
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,478,14,89,186,208,11,478,5,4,80.0,1,20.0,333,1405,797,21,28,1,6,3,338,70,Partidos
