RL2019-2020,Jugador2019-2020,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Cmp2019-2020,Int.2019-2020,% Cmp2019-2020,Dist. tot.2019-2020,Dist. prg.2019-2020,Cmp.12019-2020,Int..12019-2020,% Cmp.12019-2020,Cmp.22019-2020,Int..22019-2020,% Cmp.22019-2020,Cmp.32019-2020,Int..32019-2020,% Cmp.32019-2020,Ass2019-2020,xAG2019-2020,xA2019-2020,A-xAG2019-2020,PC2019-2020,1/32019-2020,PPA2019-2020,CrAP2019-2020,PrgP2019-2020
431,Gil Bastião Dias,pt POR,"CC,DF",Granada,es La Liga,22,1996,15.7,613.0,777.0,155.9,9177.0,3183.0,342.0,400.0,166.8,224.0,275.0,167.10000000000002,29.0,56.0,102.2,1,1.9000000000000001,2.3,-0.9000000000000001,20.0,53.0,19.0,4.0,84.0
217,Borja Bastón,es ESP,"CC,DL",Aston Villa,eng Premier League,26,1992,0.2,4.0,6.0,66.7,75.0,25.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
218,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,20,1999,21.3,1278.0,1460.0,87.5,23424.0,7663.0,514.0,537.0,95.7,605.0,656.0,92.2,137.0,206.0,66.5,0,0.7,0.8,-0.7,12.0,88.0,8.0,2.0,107.0
219,Bastos,ao ANG,DF,Lazio,it Serie A,28,1991,8.5,374.0,422.0,88.6,6237.0,1749.0,177.0,187.0,94.7,154.0,167.0,92.2,31.0,46.0,67.4,0,0.0,0.2,0.0,0.0,19.0,1.0,0.0,17.0
220,Oliver Batista-Meier,de GER,CC,Bayern Munich,de Bundesliga,18,2001,0.1,3.0,4.0,75.0,27.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,Michy Batshuayi,be BEL,DL,Chelsea,eng Premier League,25,1993,2.7,64.0,78.0,82.1,641.0,80.0,41.0,48.0,85.4,11.0,14.0,78.6,0.0,1.0,0.0,1,0.2,0.2,0.8,3.0,0.0,0.0,0.0,1.0
222,Cristian Battocchio,it ITA,CC,Brest,fr Ligue 1,27,1992,15.5,678.0,864.0,78.5,13037.0,4005.0,266.0,307.0,86.6,294.0,357.0,82.4,102.0,168.0,60.7,1,1.7,1.6,-0.7,19.0,68.0,10.0,0.0,99.0
223,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,29,1990,30.0,1006.0,1285.0,78.3,23757.0,15845.0,302.0,302.0,100.0,457.0,461.0,99.1,227.0,498.0,45.6,0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0
224,Julian Baumgartlinger,at AUT,CC,Leverkusen,de Bundesliga,31,1988,19.9,1013.0,1124.0,90.1,15356.0,3543.0,559.0,604.0,92.5,323.0,350.0,92.3,75.0,90.0,83.3,2,2.3,1.4,-0.3,17.0,71.0,9.0,0.0,77.0
225,Christoph Baumgartner,at AUT,"CC,DL",Hoffenheim,de Bundesliga,19,1999,16.6,344.0,496.0,69.4,4880.0,1059.0,197.0,241.0,81.7,110.0,149.0,73.8,17.0,39.0,43.6,2,2.1,1.0,-0.1,18.0,25.0,9.0,1.0,35.0
