Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Expectativa,Expectativa,Expectativa,Expectativa,Progresión,Progresión,Progresión,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Unnamed: 37_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,27,1991,30,26,2408,26.8,2,6,8,2,0,0,5,0,1.9,1.9,3.5,5.4,49,310,56,0.07,0.22,0.30,0.07,0.30,0.07,0.13,0.20,0.07,0.20,Partidos
52,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,27,1991,34,34,2976,33.1,3,2,5,3,0,1,13,0,3.5,2.7,0.9,3.6,45,181,21,0.09,0.06,0.15,0.09,0.15,0.10,0.03,0.13,0.08,0.11,Partidos
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,34,33,2922,32.5,0,0,0,0,0,0,3,0,1.1,1.1,0.6,1.8,25,161,5,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Partidos
54,Álex Alegría,es ESP,"DL,CC",Rayo Vallecano,es La Liga,25,1992,9,0,140,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,4,5,7,0.00,0.00,0.00,0.00,0.00,0.16,0.24,0.40,0.16,0.40,Partidos
55,Alexis Alegue,fr FRA,DL,Nantes,fr Ligue 1,21,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
56,Iván Alejo,es ESP,CC,Getafe,es La Liga,23,1995,4,2,146,1.6,0,0,0,0,0,0,2,1,0.0,0.0,0.6,0.6,7,3,10,0.00,0.00,0.00,0.00,0.00,0.02,0.35,0.36,0.02,0.36,Partidos
57,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,20,1998,17,6,637,7.1,2,0,2,2,0,0,2,0,1.3,1.3,0.7,2.0,18,65,38,0.28,0.00,0.28,0.28,0.28,0.18,0.10,0.28,0.18,0.28,Partidos
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,23,1995,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
59,Alexander,ar ARG,DL,Leganés,es La Liga,29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,29,27,2462,27.4,1,12,13,1,0,0,3,0,1.6,1.6,6.3,7.9,70,157,174,0.04,0.44,0.48,0.04,0.48,0.06,0.23,0.29,0.06,0.29,Partidos
61,Rachid Alioui,ma MAR,DL,Nîmes,fr Ligue 1,26,1992,27,11,1252,13.9,5,0,5,5,0,0,1,0,5.4,5.4,1.2,6.6,24,22,79,0.36,0.00,0.36,0.36,0.36,0.39,0.08,0.48,0.39,0.48,Partidos
62,Alisson,br BRA,PO,Liverpool,eng Premier League,25,1992,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
63,Bobby Allain,fr FRA,PO,Dijon,fr Ligue 1,26,1991,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
64,Allan,br BRA,CC,Napoli,it Serie A,27,1991,33,28,2616,29.1,1,3,4,1,0,0,10,0,1.0,1.0,2.5,3.6,49,236,45,0.03,0.10,0.14,0.03,0.14,0.03,0.09,0.12,0.03,0.12,Partidos
65,Allan,br BRA,CC,Eint Frankfurt,de Bundesliga,21,1997,4,2,176,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,4,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Partidos
66,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,22,1996,25,22,1825,20.3,5,3,8,5,0,0,4,0,4.8,4.8,3.1,7.9,48,111,153,0.25,0.15,0.39,0.25,0.39,0.23,0.15,0.39,0.23,0.39,Partidos
67,Miguel Almirón,py PAR,CC,Newcastle Utd,eng Premier League,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0,1.5,1.5,0.6,2.1,31,25,45,0.00,0.00,0.00,0.00,0.00,0.18,0.07,0.25,0.17,0.24,Partidos
68,Júnior Alonso,py PAR,"DF,CC",Celta Vigo,es La Liga,25,1993,9,6,536,6.0,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.5,6,21,19,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Partidos
69,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,31,31,2759,30.7,2,4,6,2,0,0,6,0,3.4,3.4,3.4,6.8,102,146,230,0.07,0.13,0.20,0.07,0.20,0.11,0.11,0.22,0.11,0.22,Partidos
70,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,11,6,571,6.3,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,21,18,38,0.16,0.00,0.16,0.16,0.16,0.05,0.07,0.11,0.05,0.11,Partidos
71,Sergio Álvarez,es ESP,"DF,CC",Eibar,es La Liga,26,1992,19,12,1069,11.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,7,29,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
