RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
74,Ibrahim Amadou,fr FRA,CC,Leganés,es La Liga,26,1993,8.6,342.0,9.0,71.0,209.0,63.0,8.0,342.0,6.0,4.0,66.7,2.0,33.3,177.0,831.0,444.0,9.0,7.0,1.0,5.0,3.0,208.0,10.0
75,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,29,1989,18.8,1098.0,35.0,241.0,728.0,146.0,7.0,1098.0,33.0,26.0,78.8,7.0,21.2,626.0,3565.0,1691.0,24.0,27.0,3.0,31.0,19.0,727.0,28.0
76,Amath,sn SEN,CC,Getafe,es La Liga,23,1996,0.7,34.0,0.0,2.0,16.0,16.0,1.0,34.0,10.0,5.0,50.0,5.0,50.0,20.0,132.0,56.0,0.0,1.0,1.0,3.0,2.0,20.0,4.0
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1591.0,78.0,510.0,746.0,352.0,28.0,1591.0,52.0,30.0,57.7,22.0,42.3,788.0,4457.0,2377.0,62.0,54.0,9.0,32.0,19.0,835.0,92.0
78,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,22,1997,6.1,302.0,5.0,24.0,124.0,159.0,30.0,302.0,44.0,25.0,56.8,19.0,43.2,185.0,1476.0,713.0,31.0,24.0,7.0,24.0,23.0,219.0,49.0
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,844.0,75.0,287.0,392.0,173.0,11.0,844.0,24.0,11.0,45.8,13.0,54.2,416.0,2730.0,1615.0,38.0,28.0,5.0,18.0,10.0,427.0,27.0
80,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,22,1996,20.6,1355.0,15.0,158.0,712.0,504.0,50.0,1355.0,44.0,30.0,68.2,14.0,31.8,723.0,4405.0,2166.0,53.0,43.0,13.0,41.0,19.0,905.0,95.0
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,94.0,9.0,38.0,54.0,2.0,1.0,94.0,0.0,0.0,,0.0,,64.0,340.0,237.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
82,Opoku Ampomah,gh GHA,"DL,CC",Düsseldorf,de Bundesliga,23,1996,5.6,201.0,5.0,31.0,69.0,108.0,22.0,201.0,39.0,19.0,48.7,20.0,51.3,140.0,1089.0,520.0,23.0,10.0,13.0,28.0,10.0,138.0,50.0
83,Sofyan Amrabat,ma MAR,CC,Hellas Verona,it Serie A,22,1996,32.4,2062.0,54.0,355.0,1357.0,395.0,22.0,2061.0,103.0,75.0,72.8,28.0,27.2,1388.0,10322.0,4827.0,84.0,67.0,5.0,57.0,56.0,1421.0,52.0
