RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
167,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,26.0,1994.0,30,2585.0,86.0,84.5,28.7,30,86.0,23.0,0,,0,1.87,53.0,30.0,23.0,0.8,0.61,43.0,32.9,10.1,0.35,0.97
168,Toluwalase Arokodare,ng NGA,"DL,CC",Köln,de Bundesliga,19.0,2000.0,10,112.0,11.0,3.7,1.2,0,,0.0,10,11.0,7,0.6,3.0,4.0,-1.0,-0.8,-0.04,1.6,1.4,0.2,0.13,0.54
169,Sergio Arribas,es ESP,"CC,DL",Real Madrid,es La Liga,18.0,2001.0,8,135.0,17.0,3.9,1.5,0,,0.0,8,17.0,4,2.13,3.0,0.0,3.0,2.0,1.01,1.8,0.5,1.3,0.88,0.26
170,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,25.0,1994.0,7,585.0,84.0,17.1,6.5,6,90.0,6.0,1,45.0,28,1.14,9.0,8.0,1.0,0.15,-0.51,11.0,7.5,3.5,0.53,-0.38
171,Tolgay Arslan,de GER,CC,Udinese,it Serie A,29.0,1990.0,30,1818.0,61.0,53.2,20.2,25,69.0,3.0,5,19.0,3,1.2,23.0,20.0,3.0,0.15,1.22,25.7,24.5,1.3,0.06,0.52
172,Federico Artioli,it ITA,CC,Sassuolo,it Serie A,19.0,2001.0,0,,,,,0,,0.0,0,,2,,,,,,,,,,,
173,Gabriele Artistico,it ITA,DL,Parma,it Serie A,18.0,2002.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,
174,Kwadwo Asamoah,gh GHA,"DF,CC",Cagliari,it Serie A,31.0,1988.0,9,224.0,25.0,6.5,2.5,1,90.0,1.0,8,17.0,9,1.56,3.0,2.0,1.0,0.4,0.88,5.0,3.8,1.2,0.46,0.91
175,Santiago Ascacíbar,ar ARG,CC,Hertha BSC,de Bundesliga,23.0,1997.0,13,762.0,59.0,24.9,8.5,8,75.0,3.0,5,33.0,7,1.38,7.0,9.0,-2.0,-0.24,0.12,9.1,12.3,-3.2,-0.38,-0.29
176,Rocco Ascone,fr FRA,DL,Lille,fr Ligue 1,16.0,2003.0,0,,,,,0,,,0,,4,,,,,,,,,,,
