RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
79,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,28,1992,17.4,3,0,0,38,16,0,9,22,25,0.0,0.0,0,103.0,45.0,45.0,50.0
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,6,0,0,20,15,1,5,53,12,0.0,0.0,0,126.0,58.0,45.0,56.3
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,3,0,0,20,9,1,8,26,10,0.0,0.0,0,74.0,43.0,5.0,89.6
82,Steven Alzate,co COL,CC,Brighton,eng Premier League,21,1998,10.0,2,0,0,20,6,1,3,8,8,0.0,0.0,0,46.0,7.0,12.0,36.8
83,Ibrahim Amadou,fr FRA,CC,Angers,fr Ligue 1,27,1993,16.7,6,0,0,34,5,0,4,23,26,0.0,0.0,0,98.0,19.0,17.0,52.8
84,Romain Amalfitano,fr FRA,"DL,DF",Dijon,fr Ligue 1,30,1989,1.3,0,0,0,2,1,0,5,1,2,0.0,0.0,0,6.0,1.0,1.0,50.0
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0,0,0,0,0,1,2,0,0.0,0.0,0,2.0,0.0,0.0,
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,3,0,0,3,1,0,1,12,7,0.0,0.0,0,60.0,19.0,16.0,54.3
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,3,1,0,13,14,0,10,27,9,1.0,0.0,0,46.0,23.0,11.0,67.6
88,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,23,1997,8.4,4,0,0,22,9,3,19,2,4,0.0,0.0,0,33.0,21.0,29.0,42.0
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,
90,Nadiem Amiri,de GER,CC,Leverkusen,de Bundesliga,23,1996,21.0,5,0,0,21,26,4,68,12,7,0.0,0.0,0,109.0,4.0,21.0,16.0
91,Ethan Ampadu,wls WAL,"DF,CC",Sheffield Utd,eng Premier League,19,2000,23.2,3,0,0,25,25,1,19,49,36,0.0,1.0,1,114.0,52.0,29.0,64.2
92,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,23,1996,27.1,7,0,0,59,44,0,16,23,22,0.0,0.0,0,188.0,18.0,26.0,40.9
93,Jon Ander Garrido,es ESP,CC,Cádiz,es La Liga,30,1989,8.9,1,0,0,13,6,0,2,14,10,1.0,0.0,0,45.0,22.0,26.0,45.8
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,7,1,0,39,15,1,12,44,19,0.0,2.0,0,172.0,98.0,44.0,69.0
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,1,0,0,5,2,0,0,2,1,0.0,0.0,0,10.0,4.0,0.0,100.0
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0,0,1,1,0,2,1,0,0.0,0.0,0,4.0,0.0,0.0,
97,Elliot Anderson,sct SCO,CC,Newcastle Utd,eng Premier League,17,2002,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,
98,Felipe Anderson,br BRA,"DL,CC",West Ham,eng Premier League,27,1993,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,
99,Sebastian Andersson,se SWE,DL,Köln,de Bundesliga,29,1991,12.5,1,0,0,21,7,7,2,2,2,1.0,0.0,0,23.0,79.0,63.0,55.6
100,Nícolas Andrade,br BRA,PO,Udinese,it Serie A,32,1988,2.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,
101,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,29,1990,32.1,10,0,0,70,53,0,14,76,68,0.0,0.0,0,276.0,84.0,83.0,50.3
102,Marcos André,br BRA,DL,Valladolid,es La Liga,23,1996,13.1,3,0,0,25,26,7,9,2,2,1.0,0.0,0,29.0,40.0,84.0,32.3
103,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,25,1994,28.1,5,1,0,50,34,2,17,51,24,0.0,0.0,1,176.0,46.0,25.0,64.8
104,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,23,1996,18.6,5,0,0,27,27,0,9,19,24,0.0,0.0,0,132.0,13.0,18.0,41.9
105,Ángel,es ESP,PO,Granada,es La Liga,18,2002,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0
106,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,3,0,0,8,4,0,59,13,8,0.0,0.0,0,81.0,17.0,12.0,58.6
107,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,0,0,2,1,1,0,3,0,0.0,0.0,0,10.0,9.0,8.0,52.9
108,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,23,1997,24.0,2,0,0,22,27,7,184,30,19,0.0,0.0,0,110.0,12.0,22.0,35.3
109,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0
110,Philip Ankhrah,gh GHA,CC,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,
111,Cristian Ansaldi,ar ARG,"DF,DL",Torino,it Serie A,33,1986,21.6,1,0,0,24,22,0,177,16,33,0.0,1.0,0,99.0,7.0,14.0,33.3
112,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,3,0,0,24,34,1,11,47,20,0.0,1.0,0,228.0,50.0,34.0,59.5
113,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,30,1990,21.9,3,0,0,29,40,15,31,7,4,1.0,0.0,0,51.0,71.0,88.0,44.7
114,José Antonio Miranda,gq EQG,"CC,DF",Getafe,es La Liga,22,1998,0.3,1,0,0,2,2,0,2,0,0,0.0,0.0,0,1.0,2.0,0.0,100.0
115,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,1,0,0,2,2,0,0,4,2,0.0,0.0,0,11.0,3.0,5.0,37.5
116,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,22,1998,19.8,3,1,0,20,23,3,19,17,12,0.0,0.0,0,90.0,4.0,17.0,19.0
117,Adil Aouchiche,fr FRA,"CC,DL",Saint-Étienne,fr Ligue 1,18,2002,19.2,2,0,0,20,31,0,130,10,20,0.0,0.0,0,100.0,13.0,28.0,31.7
118,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,3,0,0,16,3,1,47,25,34,0.0,1.0,0,99.0,30.0,23.0,56.6
119,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,0,0,0,0,0,0,0,0,1,0.0,0.0,0,2.0,1.0,1.0,50.0
120,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,24,1995,33.1,11,0,0,58,73,1,123,42,39,0.0,0.0,0,204.0,54.0,53.0,50.5
121,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,31,1989,18.5,4,0,0,31,25,0,4,33,23,0.0,0.0,0,122.0,10.0,16.0,38.5
122,Luiz Araújo,br BRA,CC,Lille,fr Ligue 1,24,1996,16.6,5,0,0,24,18,0,27,11,25,0.0,0.0,0,88.0,10.0,20.0,33.3
123,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,5,0,0,30,4,0,2,43,16,0.0,0.0,0,134.0,61.0,46.0,57.0
124,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,3,0,0,12,17,2,0,20,11,1.0,1.0,0,104.0,51.0,22.0,69.9
125,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,8,0,0,36,13,0,43,69,26,0.0,2.0,0,245.0,68.0,53.0,56.2
126,Alphonse Areola,fr FRA,PO,Fulham,eng Premier League,27,1993,36.0,2,0,0,0,5,0,0,1,0,0.0,0.0,0,36.0,13.0,1.0,92.9
127,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,0,0,0,1,0,0,2,1,1,0.0,0.0,0,6.0,0.0,3.0,0.0
128,Karim Aribi,dz ALG,DL,Nîmes,fr Ligue 1,26,1994,3.3,0,0,0,2,2,0,2,0,2,1.0,0.0,0,7.0,12.0,39.0,23.5
129,Unai Arietaleanizbeaskoa,es ESP,"DL,CC",Eibar,es La Liga,21,1999,0.5,1,0,0,3,1,1,0,0,0,0.0,0.0,0,1.0,0.0,3.0,0.0
130,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0
131,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,28,1992,30.7,3,0,0,34,35,4,40,24,41,0.0,0.0,0,175.0,8.0,17.0,32.0
132,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,26,1994,28.7,7,1,0,39,62,0,139,49,32,0.0,1.0,0,240.0,39.0,27.0,59.1
133,Toluwalase Arokodare,ng NGA,"DL,CC",Köln,de Bundesliga,19,2000,1.2,0,0,0,1,1,2,1,1,1,0.0,0.0,0,9.0,9.0,13.0,40.9
