RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos
65,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,22,1998,0.5,39.0,39.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0
66,Carles Aleñá,es ESP,"CC,DL",Getafe,es La Liga,22,1998,15.2,591.0,510.0,74.0,37.0,1.0,7.0,60,4.0,32.0,16.0,10.0,0.0,390.0,7.0,16.0
67,Rúnar Alex Rúnarsson,is ISL,PO,Arsenal,eng Premier League,25,1995,0.2,11.0,8.0,3.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,3015.0,2516.0,488.0,56.0,6.0,55.0,297,326.0,106.0,16.0,61.0,2.0,2245.0,11.0,52.0
69,Alfon,es ESP,CC,Celta Vigo,es La Liga,21,1999,0.4,16.0,16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
70,Mohamed Ali Cho,fr FRA,"DL,CC",Angers,fr Ligue 1,16,2004,3.9,111.0,106.0,3.0,0.0,0.0,0.0,11,2.0,0.0,0.0,0.0,0.0,67.0,2.0,6.0
71,Ezgjan Alioski,mk MKD,"DF,CC",Leeds United,eng Premier League,28,1992,27.3,1670.0,1410.0,255.0,29.0,1.0,7.0,62,226.0,0.0,0.0,0.0,0.0,1321.0,5.0,44.0
72,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,28,1992,0.2,8.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
73,Alisson,br BRA,PO,Liverpool,eng Premier League,27,1992,33.0,1157.0,919.0,234.0,61.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,1000.0,4.0,0.0
74,Saturnin Allagbé,bj BEN,PO,Dijon,fr Ligue 1,26,1993,12.0,403.0,265.0,137.0,32.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,269.0,1.0,1.0
75,Allan,br BRA,CC,Everton,eng Premier League,29,1991,22.8,1068.0,1029.0,35.0,22.0,1.0,4.0,4,5.0,0.0,0.0,0.0,0.0,908.0,4.0,18.0
76,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,24,1996,6.9,345.0,316.0,27.0,8.0,1.0,1.0,10,3.0,0.0,0.0,0.0,0.0,275.0,2.0,12.0
77,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,26,1994,27.0,895.0,866.0,26.0,6.0,3.0,5.0,39,3.0,5.0,0.0,0.0,0.0,708.0,3.0,33.0
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,610.0,517.0,90.0,11.0,0.0,3.0,24,75.0,4.0,0.0,4.0,0.0,493.0,3.0,21.0
79,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,28,1992,17.4,698.0,681.0,16.0,14.0,0.0,8.0,9,2.0,0.0,0.0,0.0,0.0,531.0,1.0,6.0
