RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
1402,Luca Koleosho,it ITA,DL,Espanyol,es La Liga,16,2004,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1403,Randal Kolo Muani,fr FRA,"DL,CC",Nantes,fr Ligue 1,22,1998,32.8,28.0,14,7.0,10.0,11.0,10.0,25.0,40.0,15.0,14.0,3.0,11.0,6,34.0,31.0,0.0
1404,Timothée Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,29,1991,28.5,43.0,24,22.0,14.0,7.0,20.0,36.0,55.6,16.0,29.0,7.0,22.0,60,103.0,72.0,1.0
1405,Ghislain Konan,ci CIV,DF,Reims,fr Ligue 1,25,1995,26.9,35.0,19,19.0,15.0,1.0,16.0,30.0,53.3,14.0,35.0,8.0,27.0,28,63.0,45.0,0.0
1406,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,22,1999,11.0,16.0,10,9.0,6.0,1.0,7.0,10.0,70.0,3.0,13.0,9.0,4.0,16,32.0,37.0,1.0
1407,Geoffrey Kondogbia,cf CTA,"CC,DF",Atlético Madrid,es La Liga,28,1993,20.9,74.0,44,25.0,40.0,9.0,21.0,49.0,42.9,28.0,16.0,5.0,11.0,44,118.0,24.0,0.0
1408,Ibrahima Koné,ml MLI,DL,Lorient,fr Ligue 1,22,1999,8.1,7.0,4,0.0,3.0,4.0,2.0,3.0,66.7,1.0,8.0,3.0,5.0,1,8.0,3.0,0.0
1409,Kouadio Koné,fr FRA,CC,M'Gladbach,de Bundesliga,20,2001,24.3,60.0,37,29.0,28.0,3.0,25.0,42.0,59.5,17.0,27.0,4.0,23.0,34,94.0,12.0,0.0
1410,Youssouf Koné,ml MLI,DF,Troyes,fr Ligue 1,26,1995,10.9,30.0,18,21.0,8.0,1.0,19.0,30.0,63.3,11.0,8.0,3.0,5.0,10,40.0,25.0,0.0
1411,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,23,1997,27.5,25.0,15,13.0,11.0,1.0,10.0,13.0,76.9,3.0,31.0,22.0,9.0,15,40.0,86.0,2.0
