Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
2088,Marco Richter,de GER,DL,Augsburg,de Bundesliga,19,1997,7.2,157,154,3,0,1,1,9,1,0,0,0,0,112,0,3,Partidos
2089,Diego Rico,es ESP,DF,Leganés,es La Liga,24,1993,24.8,1329,967,352,56,0,12,125,270,26,8,15,0,892,10,56,Partidos
2090,Mikel Rico,es ESP,CC,Athletic Club,es La Liga,32,1984,13.0,554,527,21,6,1,3,12,1,1,0,1,0,441,6,18,Partidos
2091,Sergio Rico,es ESP,PO,Sevilla,es La Liga,23,1993,24.0,668,417,250,58,0,1,0,0,0,0,0,0,444,1,0,Partidos
2092,Jaïro Riedewald,nl NED,"CC,DF",Crystal Palace,eng Premier League,20,1996,4.9,159,156,2,1,0,0,2,1,0,0,0,0,126,1,3,Partidos
2093,Asier Riesgo,es ESP,PO,Eibar,es La Liga,33,1983,1.0,33,14,19,8,0,0,0,0,0,0,0,0,13,0,0,Partidos
2094,Luca Rigoni,it ITA,CC,Genoa,it Serie A,32,1984,17.5,551,540,9,6,5,7,18,3,0,0,0,0,440,2,13,Partidos
2095,Nicola Rigoni,it ITA,CC,Chievo,it Serie A,26,1990,10.4,432,419,8,8,1,5,3,0,0,0,0,0,352,5,7,Partidos
2096,Kévin Rimane,gf GUF,DF,Paris S-G,fr Ligue 1,26,1991,0.1,4,3,1,1,0,0,0,0,0,0,0,0,4,0,0,Partidos
2097,Tomás Rincón,ve VEN,CC,Torino,it Serie A,29,1988,33.3,1525,1475,42,31,2,33,17,10,0,0,0,0,1253,8,21,Partidos
2098,Birk Risa,no NOR,DL,Köln,de Bundesliga,19,1998,0.9,21,17,4,1,0,0,2,1,1,0,0,1,12,0,2,Partidos
2099,Marcel Risse,de GER,"DF,CC",Köln,de Bundesliga,27,1989,13.0,643,527,109,21,0,8,121,42,46,11,33,2,384,7,42,Partidos
2100,Matt Ritchie,sct SCO,"CC,DL",Newcastle Utd,eng Premier League,27,1989,31.2,1279,1102,171,45,7,10,190,37,89,35,36,6,834,6,44,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
2101,Cristian Rivera,es ESP,CC,Eibar,es La Liga,20,1997,2.7,133,130,2,2,0,0,0,0,0,0,0,0,112,1,3,Partidos
2102,Emmanuel Rivière,fr FRA,DL,Metz,fr Ligue 1,27,1990,22.3,632,584,47,0,2,1,3,0,0,0,0,0,425,1,18,Partidos
2103,Jonathan Rivierez,mq MTQ,DF,Metz,fr Ligue 1,28,1989,22.9,963,743,218,14,0,7,25,204,0,0,0,0,727,2,22,Partidos
2104,Luca Rizzo,it ITA,CC,SPAL,it Serie A,25,1992,5.4,212,196,13,1,0,2,25,2,10,0,2,0,142,3,18,Partidos
2105,Arjen Robben,nl NED,"DL,CC",Bayern Munich,de Bundesliga,33,1984,16.7,882,774,108,20,0,13,65,52,36,20,8,0,711,0,16,Partidos
2106,Rober,es ESP,"DF,CC",Levante,es La Liga,22,1995,21.2,680,649,29,25,0,9,3,4,0,0,0,0,555,2,12,Partidos
2107,Roberto,es ESP,PO,Málaga,es La Liga,31,1986,34.0,998,556,440,161,0,1,0,0,0,0,0,0,519,2,0,Partidos
2108,Sergi Roberto,es ESP,DF,Barcelona,es La Liga,25,1992,24.7,1832,1638,190,14,3,8,35,176,0,0,0,0,1634,4,23,Partidos
2109,Connor Roberts,wls WAL,DF,Swansea City,eng Premier League,21,1995,3.0,181,147,33,1,0,0,13,32,0,0,0,0,131,1,10,Partidos
2110,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,23,1994,21.6,1681,1497,182,12,3,3,88,170,0,0,0,0,1404,2,42,Partidos
2111,Álex Robles,es ESP,DF,Málaga,es La Liga,18,1999,1.0,34,26,8,1,0,0,1,7,0,0,0,0,21,0,2,Partidos
2112,Hal Robson-Kanu,wls WAL,"DL,CC",West Brom,eng Premier League,28,1989,9.2,208,198,8,0,1,0,19,3,0,0,0,0,127,2,15,Partidos
