RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG
340,Pedro Brazão,pt POR,"CC,DL",Nice,fr Ligue 1,15,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
341,Fabian Bredlow,de GER,PO,Nürnberg,de Bundesliga,23,1995,12.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
342,Josip Brekalo,hr CRO,"DL,CC",Wolfsburg,de Bundesliga,20,1998,15.7,3,26,13,50.0,1.65,0.83,0.12,0.23,19.8,0,0,0,2.3,2.3,0.09,0.7,0.7
343,Gleison Bremer,br BRA,DF,Torino,it Serie A,21,1997,2.0,0,1,0,0.0,0.49,0.0,0.0,,9.8,0,0,0,0.0,0.0,0.05,0.0,0.0
344,Joshua Brenet,nl NED,DF,Hoffenheim,de Bundesliga,24,1994,10.1,2,10,7,70.0,0.99,0.7,0.2,0.29,15.2,0,0,0,1.7,1.7,0.17,0.3,0.3
345,Rajko Brežančić,rs SRB,DF,Huesca,es La Liga,28,1989,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
346,Anthony Briançon,fr FRA,DF,Nîmes,fr Ligue 1,23,1994,32.5,2,20,8,40.0,0.62,0.25,0.1,0.25,12.2,0,0,0,3.1,3.1,0.15,-1.1,-1.1
347,Jimmy Briand,fr FRA,DL,Bordeaux,fr Ligue 1,32,1985,27.7,7,51,19,37.3,1.84,0.69,0.12,0.32,15.0,0,1,1,7.0,6.2,0.12,0.0,-0.2
348,Nicolò Brighenti,it ITA,DF,Frosinone,it Serie A,28,1989,11.0,0,3,1,33.3,0.27,0.09,0.0,0.0,11.8,0,0,0,0.4,0.4,0.12,-0.4,-0.4
349,Matteo Brighi,it ITA,CC,Empoli,it Serie A,37,1981,2.6,1,1,1,100.0,0.39,0.39,1.0,1.0,5.2,0,0,0,0.7,0.7,0.72,0.3,0.3
350,Enrico Brignola,it ITA,"DL,CC",Sassuolo,it Serie A,19,1999,1.9,1,6,2,33.3,3.09,1.03,0.17,0.5,18.2,0,0,0,0.6,0.6,0.1,0.4,0.4
351,Miguel Britos,uy URU,DF,Watford,eng Premier League,33,1985,2.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
352,David Brooks,wls WAL,"CC,DL",Bournemouth,eng Premier League,21,1997,25.1,7,41,20,48.8,1.63,0.8,0.17,0.35,16.0,0,0,0,6.0,6.0,0.15,1.0,1.0
353,John Brooks,us USA,DF,Wolfsburg,de Bundesliga,25,1993,29.0,3,19,5,26.3,0.66,0.17,0.16,0.6,9.7,0,0,0,2.6,2.6,0.14,0.4,0.4
354,Daniel Brosinski,de GER,DF,Mainz 05,de Bundesliga,30,1988,24.5,3,15,3,20.0,0.61,0.12,0.0,0.0,30.9,7,3,3,3.1,0.7,0.05,-0.1,-0.7
355,Marcelo Brozović,hr CRO,CC,Inter,it Serie A,25,1992,29.4,2,25,6,24.0,0.85,0.2,0.08,0.33,26.0,3,0,0,1.0,1.0,0.04,1.0,1.0
356,Bruma,pt POR,CC,RB Leipzig,de Bundesliga,23,1994,6.1,1,13,6,46.2,2.12,0.98,0.08,0.17,21.4,0,0,1,1.5,0.7,0.05,-0.5,0.3
357,Jeffrey Bruma,nl NED,DF,Schalke 04,de Bundesliga,26,1991,6.9,0,2,0,0.0,0.29,0.0,0.0,,14.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
358,Bruno,es ESP,DF,Brighton,eng Premier League,37,1980,12.6,0,2,0,0.0,0.16,0.0,0.0,,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
359,Jacob Bruun Larsen,dk DEN,DL,Dortmund,de Bundesliga,19,1998,14.1,2,26,9,34.6,1.85,0.64,0.08,0.22,17.7,0,0,0,3.3,3.3,0.13,-1.3,-1.3
360,Joe Bryan,eng ENG,"DF,CC",Fulham,eng Premier League,24,1993,26.1,0,21,7,33.3,0.81,0.27,0.0,0.0,23.4,0,0,0,0.7,0.7,0.03,-0.7,-0.7
361,Gianluigi Buffon,it ITA,PO,Paris S-G,fr Ligue 1,40,1978,17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
