RL2017-2018,Jugador2017-2018,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Int.2017-2018,Balón vivo2017-2018,Balón muerto2017-2018,FK2017-2018,PL2017-2018,Camb.2017-2018,Pcz2017-2018,Lanz.2017-2018,SE2017-2018,Dentro2017-2018,Fuera2017-2018,Rect.2017-2018,Cmp2017-2018,PA2017-2018,Bloqueos2017-2018
2205,Junior Sambia,fr FRA,CC,Montpellier,fr Ligue 1,20.0,1996.0,17.1,811.0,697.0,109.0,28.0,2.0,4.0,98.0,27.0,54.0,17.0,33.0,0.0,629.0,5.0,16.0
2206,Frédéric Sammaritano,fr FRA,"DL,CC",Dijon,fr Ligue 1,31.0,1986.0,15.9,608.0,584.0,21.0,9.0,1.0,4.0,45.0,5.0,7.0,5.0,1.0,0.0,466.0,3.0,29.0
2207,Sergi Samper,es ESP,CC,Las Palmas,es La Liga,22.0,1995.0,1.6,84.0,82.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,1.0
4417,Jairo Samperio,es ESP,"DL,CC",Las Palmas,es La Liga,24.0,1993.0,6.6000000000000005,162.0,153.0,5.0,0.0,2.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,100.0,4.0,8.0
2210,Mario Sampirisi,it ITA,DF,Crotone,it Serie A,24.0,1992.0,24.4,1096.0,878.0,215.0,21.0,0.0,4.0,35.0,194.0,0.0,0.0,0.0,0.0,820.0,3.0,12.0
2211,Mikel San José,es ESP,CC,Athletic Club,es La Liga,28.0,1989.0,23.9,1025.0,993.0,29.0,20.0,7.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,800.0,3.0,24.0
2212,Antonio Sanabria,py PAR,DL,Betis,es La Liga,21.0,1996.0,9.5,174.0,148.0,25.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,126.0,1.0,4.0
2213,Renato Sanches,pt POR,CC,Swansea City,eng Premier League,19.0,1997.0,7.8,420.0,383.0,36.0,16.0,1.0,6.0,32.0,8.0,11.0,8.0,3.0,0.0,330.0,1.0,5.0
4429,Alexis Sánchez,cl CHI,"CC,DL",Arsenal,eng Premier League,28.0,1988.0,28.299999999999997,1564.0,1460.0,92.0,30.0,29.0,17.0,97.0,1.0,54.0,33.0,9.0,0.0,1094.0,12.0,57.0
4433,Carlos Sánchez,co COL,"CC,DF",Fiorentina,it Serie A,31.0,1986.0,16.6,836.0,814.0,19.0,18.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,688.0,3.0,8.0
2218,Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,21.0,1996.0,28.2,1879.0,1825.0,51.0,45.0,0.0,14.0,3.0,6.0,0.0,0.0,0.0,0.0,1677.0,3.0,6.0
2219,Sergio Sánchez,es ESP,DF,Espanyol,es La Liga,31.0,1986.0,1.1,41.0,26.0,14.0,2.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0
2220,Víctor Sánchez,es ESP,"CC,DF",Espanyol,es La Liga,29.0,1987.0,27.3,1404.0,1197.0,200.0,39.0,0.0,9.0,67.0,152.0,9.0,4.0,5.0,0.0,1007.0,7.0,26.0
2221,Jadon Sancho,eng ENG,DL,Dortmund,de Bundesliga,17.0,2000.0,7.7,374.0,365.0,9.0,1.0,1.0,2.0,14.0,3.0,4.0,3.0,0.0,0.0,306.0,0.0,9.0
2222,Sandro,br BRA,CC,Benevento,it Serie A,28.0,1989.0,12.8,709.0,702.0,7.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,627.0,0.0,6.0
2223,Alex Sandro,br BRA,DF,Juventus,it Serie A,26.0,1991.0,23.5,1699.0,1494.0,199.0,18.0,2.0,27.0,90.0,181.0,0.0,0.0,0.0,0.0,1417.0,6.0,36.0
